Date,URL,Title,Text
2022-09-08,https://www.nbcnews.com/politics/national-security/cia-director-burns-defends-declassifying-intel-expose-russias-actions-rcna46876,CIA director Burns defends declassifying intel to expose Russia’s actions in Ukraine,"CIA Director William Burns said Thursday that the Biden administration’s decision to declassify some intelligence to expose Russia’s actions and plans in Ukraine has proven “effective.” Burns defended the administration’s unprecedented strategy of releasing intelligence reports on Russia’s invasion of Ukraine, saying it has been carried out in a carefully calibrated way designed to protect intelligence sources. Decisions to declassify intelligence are “always very complicated ones,” Burns said at the Billington Cybersecurity annual summit in Washington, D.C. “But I think when President Biden has decided very carefully and very selectively to, you know, make public some of our secrets, it’s played a very effective role over the course of the last six months,” Burns said. The CIA director said he expected the practice to continue “if we make it the exception, not the rule because the surest way, I’ve certainly found in a year and a half now as director of CIA, to lose access to good intelligence is to be reckless about how you handle it.” Burns added that U.S. intelligence will continue to play a role in “ensuring that Putin fails in Ukraine.” Burns did not mention the current legal and political battle over an FBI search that found classified and sensitive government documents at former President Donald Trump’s Mar-a-Lago residence in Florida. The director’s comments came the same week that the Biden administration shared intelligence alleging Russia had turned to North Korea to buy millions of artillery rounds and that Moscow had orchestrated the forcible deportation of hundreds of thousands of Ukrainians to Russia. The accounts were the latest in a series of publicly released intelligence reports that the White House has released during the course of the six-month-old war in Ukraine, starting with U.S. warnings that Russia planned to invade its neighbor. The administration often has used the declassified intelligence to warn of possible Russian actions and draw attention to Russian military failings. The strategy has won praise from both sides of the aisle in Congress. At a congressional hearing earlier this year, Burns, a former ambassador to Russia, told lawmakers that “in all the years I spent as a career diplomat, I saw too many instances in which we lost information wars with the Russians.” Now, Burns said, “by being careful about this we have stripped away the pretext that Putin, in particular, often uses.” “That has been a real benefit, I think, to Ukrainians,” he said. At the cybersecurity event Thursday, Burns said the U.S. intelligence agencies had a clear picture of Russia’s invasion planning last fall, citing what he called Putin’s “sense of destiny and his appetite for risk.” “And nowhere was that sense of destiny or that risk appetite greater than on his fixation with controlling Ukraine,” Burns said. The CIA director, a career diplomat who rose to senior positions in previous administrations, said Putin misjudged Ukraine, wrongly assumed Washington would lose interest in Ukraine and was “profoundly wrong in his assumptions.”"
2022-09-08,https://www.nbcnews.com/politics/blinken-makes-unannounced-trip-ukraine-nuclear-fears-rise-rcna46766,"Blinken makes unannounced trip to Ukraine, pledges $2.6 billion in security assistance to region","Secretary of State Antony Blinken arrived in Ukraine Thursday for an undisclosed trip, his third visit to the country since Russia launched its invasion in late February. He landed in the country after an overnight flight and met with his counterpart, Foreign Minister Dmytro Kuleba, just hours after Ukraine’s military chief publicly warned of the threat of Russia using nuclear weapons in the conflict. Later in the day, Blinken met with Ukrainian President Volodymyr Zelenskyy, who presented him with a special medal awarded to people for distinguished service of the state. During the meeting, Blinken announced a $675 million drawdown of U.S. arms and equipment for Ukraine, confirmed by a senior Department of State official earlier in the day. The 20th drawdown since September 2021, which Defense Secretary Lloyd Austin mentioned in remarks to allies in Germany earlier Thursday, includes additional arms, munitions and equipment from U.S. military inventories. Blinken also announced that the State Department is notifying Congress that it will make $2 billion available in long-term investments to strengthen the security of Ukraine and 18 other neighboring countries, including many NATO allies. ""In total, the secretary will announce $2.6 billion in additional security assistance for Ukraine and its neighbors today. These announcements will bring the total U.S. military assistance for Ukraine to approximately $15.2 billion since the beginning of this administration,"" the State Department official said. In the city of Irpin, located near Ukraine’s capital of Kyiv, Blinken shook hands and spoke with local leaders near bombed-out, deserted apartment buildings. Khrystyna Podyryaka, director of the National Police of Ukraine's War Crimes Investigation Unit, told Blinken that they were investigating 30,000 recorded war crimes, including 20,000 that directly involve the civilian population. Blinken reiterated the importance of holding Russia accountable and investigating war crimes. Blinken’s visit comes on the heels of a call last month with Kuleba, in which he reinforced U.S. support for Ukraine’s defense needs. President Joe Biden later announced a $3 billion package to train and equip Ukrainian armed forces. Meanwhile, Russian President Vladimir Putin has mocked the West’s response to the war, saying Wednesday that his nation had “not lost anything” amid a host of sanctions that targeted elites and services that helped finance the ongoing invasion. Ukraine also faces nuclear concerns regarding the Zaporizhzhia nuclear power plant, Europe’s largest. On Wednesday, Ukraine called for the residents of Russian-occupied areas around the power plant to evacuate for their own safety. Moscow and Kyiv have accused each other of shelling the nuclear plant, risking a nuclear disaster. Blinken’s trip comes roughly four months after he visited Ukraine with Austin. At the time, Blinken said they weren’t able to visit much of Kyiv or speak to many people due to security concerns."
2022-09-08,https://www.nbcnews.com/news/world/ukraine-forced-deportations-russia-un-filtration-rcna46804,"Hundreds of thousands of Ukrainians forcibly deported to Russia, U.S. says","The United States said Wednesday it has evidence that “hundreds of thousands” of Ukrainian citizens have been interrogated, detained and forcibly deported to Russia in “a series of horrors” overseen by officials from Russia’s presidency. Russia immediately dismissed the allegation as “fantasy,” calling it the latest invention in a Western disinformation campaign. NBC News has not verified the claims. The charge came during a Security Council meeting called by the United States and Albania to discuss Russia’s “filtration operations.” That involves Ukrainians voluntarily fleeing the war in their homeland and those forcibly being moved to Russia passing through a series of “filtration points” where treatment allegedly ranges from interrogations, data collection and strip searches to being yanked aside, tortured, sent to a detention center in Russia and never seen again. US. Ambassador Linda Thomas-Greenfield said estimates from a variety of sources, including the Russian government, indicate that Russian authorities have interrogated, detained and forcibly deported between 900,000 and 1.6 million Ukrainians. She said they are sent to Russia, often to isolated regions in its far eastern regions. “These operations aim to identify individuals Russia deems insufficiently compliant or compatible to its control,” Thomas-Greenfield said. “And there is mounting and credible evidence that those considered threatening to Russian control because of perceived pro-Ukrainian leanings are `disappeared’ or further detained.” Russia’s presidency is not only coordinating filtration operations but is providing lists of Ukrainians to be targeted for filtration, she added. She said estimates indicate thousands of children have been subject to filtration, “some separated from their families and taken from orphanages before being put up for adoption in Russia.” According to U.S. information, “more than 1,800 children were transferred from Russian-controlled areas of Ukraine to Russia” just in July, she said."
2022-09-07,https://www.nbcnews.com/news/world/zaporizhzhia-ukraine-evacuation-russia-occupied-nuclear-plant-town-rcna46675,Ukraine calls for evacuation of Zaporizhzhia nuclear plant town,"Ukraine on Wednesday called for the residents of Russian-occupied areas around the Zaporizhzhia nuclear power plant to evacuate for their own safety. Moscow and Kyiv accuse each other of shelling the nuclear plant, Europe’s largest, risking a nuclear disaster. “I appeal to the residents of the districts adjacent to the Zaporizhzhia Nuclear Power Plant .... evacuate! Find a way to get to (Ukrainian) controlled territory,” Deputy Prime Minister Iryna Vereshchuk said in a post on the Telegram messaging service. The exiled Ukrainian mayor of Enerhodar, the main town serving the plant, said in a separate Telegram post that it was under fire from Russian forces and that it had no electrical supply. “The intervals between provocations are becoming shorter and shorter,” Dmytro Orlov, the mayor, wrote. He said the plant’s employees did not have time to repair the installation “as another shelling nullifies their work and they have to start all over again.” Orlov added that residents should stockpile drinking water and food that did not require cooking. It is now impossible to predict the timing of the restoration of electricity supply. Russia denies targeting civilians and accuses Kyiv of shelling the nuclear plant. The call to evacuate followed a warning from the International Atomic Energy Agency, which said on Tuesday that there was an “urgent” need to establish a “security protection zone” at the Russian-held power plant in order to prevent a nuclear catastrophe. “The situation in Ukraine is unprecedented,” the United Nations nuclear watchdog warned. “It is the first time a military conflict has occurred amid the facilities of a large, established nuclear power” program, it said in a report. A nuclear accident would be a disaster not just for Ukraine, but also for the countries “beyond its borders,” it said. “We in this case have the historical, ethical imperative to prevent something from happening,” Rafael Grossi, head of the IAEA, later told the U.N. Security Council. “We can agree on a very simple but incredibly necessary protective mechanism to avoid what is happening now, as we speak, which is the shelling of a nuclear power plant,” he added."
2022-09-07,https://www.nbcnews.com/news/world/runaway-chimpanzee-kharkiv-zoo-escape-ukraine-raincoat-rcna46595,Video shows runaway chimpanzee return to Kharkiv zoo on bicycle ,"KYIV, Ukraine — The risks of wandering in war-torn Kharkiv alone did not seem to faze Chichi, the runaway chimpanzee whose escapades this week have made her famous on social media. It was not until a timely intervention from the heavens in the form of rain that her Ukrainian zookeepers were able to persuade her to return home — with a little help from a raincoat and a bicycle. The 13-year-old female chimpanzee escaped from Kharkiv Zoo on Monday, with zookeepers tracking her down about two hours later in the northeastern city’s Freedom Square, not far away. Video shows Chichi eventually being persuaded to put on a yellow hooded rain jacket, before being returned home perched on a bicycle, after briefly roaming through Ukraine's second largest city. Videos of the incident have been shared widely, offering both a rare moment of levity in the thick of Russia's war and an insight into the plight of animals in Ukraine whose homes have also come under bombardment. “Chimpanzees are highly intellectual creatures, it wasn’t difficult to her to break the fence and leave,” Victoria Kozyreva, the zookeeper at Kharkiv Zoo who helped persuade Chichi to return home, told NBC News on Wednesday. ""After I heard that she left, I followed her to the square and began to talk to her."" Kozyreva, who has known Chichi since the primate's childhood, can be seen approaching her and helping her put on the yellow jacket in the video. It took careful negotiations, she said, to overcome the chimp's initial skepticism. ""It wasn’t difficult to convince her. All that's needed is negotiations,” the 45-year-old zookeeper said. ""There was rain. I talked to her and invited with my jacket, helped to put it on and gave her a hug."" Chichi, who once resided at the Feldman Ecopark in the city’s northern suburbs, was relocated to Kharkiv Zoo after heavy fighting in early March, shortly after Russia launched its full-scale invasion of the country. The ecopark has since permanently closed due to the conflict, which has seen Kharkiv continue to face deadly shelling. Chichi's escape from her enclosure at Kharkiv Zoo was likely made easier by the fact that she used to be kept behind an electric fence at her home before the war, said Serhii Kuvshar, who was Chichi’s caretaker at the ecopark and has also known her since childhood. He speculated that Chichi may have escaped from her enclosure because she was bored, given the lack of recent attention from a public understandably distracted by their own shattered lives. ""They are fed up and bored to see zookeepers only,"" Kuvshar said of chimpanzees in Ukraine. ""They do like to boast in front of the people about what they can do, they like when people admire them, it is a great joy for them to communicate with people,"" he said. Around 4,000 animals from the ecopark were evacuated to other sanctuaries across Ukraine at the beginning of the invasion, according to the zoo. Six zoo personnel were killed in the shelling, it said. While Chichi's adventure ended happily, Kozyreva said many of the primates were suffering due to the war. “All of them have PTSD now, they experienced real hell, they saw how their relatives died,"" she said, referring to post-traumatic stress disorder. ""They understand everything."" Daryna Mayer reported from Kyiv, Rhoda Kwan reported from Taipei, Taiwan, and Matteo Moschella reported from London."
2022-09-07,https://www.nbcnews.com/news/world/putin-mocks-west-russia-sanctions-ukraine-war-china-xi-rcna46598,"Putin mocks West, says Russia will press on in Ukraine","Russian President Vladimir Putin mocked the West’s response to his invasion of Ukraine on Wednesday, insisting that his country had “not lost anything” after the “sanctions frenzy.” Vowing that Moscow would press on with its military action, he said that Russia had “resisted the economic, financial and technological aggression of the West.” “I’m sure that we haven’t lost anything and we won’t lose anything,” Putin told an annual economic forum in Russia’s far-eastern port city of Vladivostok. “The most important gain is the strengthening of our sovereignty, it’s an inevitable result of what’s going on.” He added that the economic and financial situation in Russia had stabilized, consumer prices inflation had slowed down and unemployment has remained low. Putin said that “a certain polarization is taking place, both in the world and inside the country,” something he said he thought was “only for the best.” “Everything unnecessary, harmful and everything that keeps us from moving forward will be abandoned,” he said, adding that Western sanctions were “a danger to the entire world.” Taking aim at foreign corporations that have pulled out of Russia since the invasion, Putin said that many European companies were now folding because of their choice to leave. He added that Western attempts to cap prices for Russian oil and gas were “stupid” and Moscow will have enough customers in Asia. “The demand is so high on global markets that we won’t have any problem selling it,” Putin said. “Any attempt to limit prices by administrative means is just ravings, it’s sheer nonsense,” he added. “It will only lead to a hike in prices.” The confrontation with the West over Ukraine has prompted Russia to embark on a hurried tilt toward Asia, and particularly China, once a junior partner of the former Soviet Union and now the world’s second largest economy. “Emerging states and regions around the world, primarily, of course, in the Asia-Pacific region, now play a substantially bigger role,” he said. Putin said that the West was failing because a futile and aggressive attempt to isolate Russia with sanctions was destroying the global economy just as Asia was rising to claim the future. Putin and his Chinese counterpart, President Xi Jinping, will meet next week at a summit in Uzbekistan, a Russian official told The Associated Press on Wednesday. If it goes ahead, it will be Xi’s first foreign trip in 2½ years. The pair last met in Beijing in February, weeks before the Kremlin sent troops into Ukraine. Putin also rejected the European Union’s argument that Russia was using energy as a weapon by suspending gas supplies via the Nord Stream 1 gas pipeline to Germany. He reaffirmed the Russian argument that Western sanctions have hampered maintenance of the last turbine that remains in operation, forcing its shutdown. Putin repeated that Moscow stands ready to “press the button” and start pumping gas “as early as tomorrow” through the Nord Stream 2, which has been put on hold by the German authorities."
2022-09-07,https://www.nbcnews.com/news/world/un-nuclear-watchdog-calls-security-protection-zone-russian-held-zapori-rcna46446,U.N. nuclear watchdog calls for a 'security protection zone' around the Russian-held Zaporizhzhia power plant ,"There is an ""urgent"" need to establish a ""security protection zone"" at the Russian-held Zaporizhzhia power plant in Ukraine to prevent a nuclear catastrophe, the International Atomic Energy Agency declared Tuesday. ""The situation in Ukraine is unprecedented,"" the United Nations nuclear watchdog warned. ""It is the first time a military conflict has occurred amid the facilities of a large, established nuclear power"" program, it said in a report. A nuclear accident would be a disaster not just for Ukraine, but also for the countries ""beyond its borders."" ""The IAEA is ready to start immediately the consultations leading to the urgent establishment of such a nuclear safety and security protection zone"" at the plant, the IAEA said. The dire warning from the Vienna-based organization that is not given to hyperbole came just 24 hours after the Ukrainian energy company that runs the Zaporizhzhia complex reported that the last line connecting the power plant to the Ukrainian electrical grid was disconnected after days of ""intensive shelling."" The three other lines went down earlier in the war. “We are playing with fire, and something very, very catastrophic could take place,” Rafael Grossi, head of the International Atomic Energy Agency, warned the U.N. Security Council, days after leading an inspection visit to the plant. At the Security Council meeting, U.N. Secretary General Antonio Guterres likewise demanded that Russian and Ukrainian forces commit to halting all military activity around the plant and agree on a “demilitarized perimeter.” ""The current situation is untenable and the best action to ensure the safety and security of Ukraine’s nuclear facilities and its people would be for this armed conflict to end now,"" the IAEA report states. “The world is once again on the brink of a nuclear disaster,” Ukrainian Energy Minister German Galushchenko said earlier on Facebook. The Zaporizhzhia plant in the southeastern Ukrainian town of Enerhodar went online in the 1980s when the country was part of the then-Soviet Union and provided up to 20% of Ukraine's power after independence. Its six reactors generate more power than any such facility in the United States. But it was captured in the early days of the Russian invasion, which began in February. The IAEA inspectors made it to the Zaporizhzhia plant Sept. 1 and since then they have been evaluating the damage at the site, assessing its safety and security systems, and interviewing the Ukrainian staffers who have kept the facility going. Before the war, the Ukrainian plant employed 11,000 staffers. How many remain was not immediately clear. But the IAEA has left two inspectors at the plant. ""The IAEA is still gravely concerned about the situation at the ZNPP — this hasn’t changed,"" the watchdog group said in its report, referring to the Zaporizhzhia nuclear power plant. ""The Seven Pillars have all been compromised at the site."" The Seven Pillars refers to the IAEA's seven core nuclear safety standards, the first of which states: ""The physical integrity of the facilities — whether it is the reactors, fuel ponds, or radioactive waste stores — must be maintained."" The West has accused Russia of heightening the risk of a nuclear disaster by using the plant as a ""shield"" where it stations troops and weapons — and launches attacks on other Ukrainian targets from the site. Russia has denied the accusations and has, in turn, accused Ukraine of repeatedly attacking the plant. The IAEA has warned that the consequences of a war-induced meltdown at the plant would be far-reaching and “much more terrible” than those from the 1986 disaster at the Chernobyl nuclear power plant near the northern Ukrainian city of Pripyat. That catastrophe sparked the evacuation of more than 100,000 people living near the plant and resulted in a radioactive cloud that drifted across most of Europe and was blamed for cancer spikes — especially in children — in both Ukraine and neighboring Belarus. The Zaporizhzhia plant is almost twice the size of Chernobyl, although its reactors are more modern, experts told NBC News earlier."
2022-09-06,https://www.nbcnews.com/news/world/russia-buying-north-korean-rockets-artillery-use-ukraine-rcna46382,Russia is buying North Korean rockets and artillery to use in Ukraine,"Russia is in the process of buying millions of rockets and artillery shells from North Korea to use in Ukraine, a senior U.S. defense official said, an indication that Western sanctions are severely hampering Moscow's military supply effort. Russia is seeking help from Kim Jong Un's regime at a time when it is also leaning on Iran for military supplies. U.S. officials disclosed late last month that Russia received shipments of Iranian-produced drones. Russian cargo planes loaded up Mohajer-6 and Shahed-series unmanned aerial vehicles over several days last month at an Iranian airfield and then ferried the drones to Russia, three U.S. officials told NBC News. The delivery is part of Russia’s plans to import “hundreds” of drones from Iran, they said. But the drones transferred to Russia have already experienced “numerous failures,” the U.S. officials said. They did not offer more details about the nature of the technical problems. The Russian invasion of Ukraine triggered a wave of economic sanctions from Washington and its European allies, placing Moscow in a position similar to Iran, which for years has been shut out of Western economies and the international financial system. Since the war began, Iran has become the top purchaser of Russia’s grain, and the two countries have announced agreements to bolster trade, including a $40 billion deal to enlist Russian help to develop Iran’s gas fields. With the war in Ukraine dragging on and Russia expending thousands of rounds of ammunition every week, it will likely seek to purchase additional military equipment from North Korea, defense officials said. The New York Times was the first to report the purchase."
2022-09-05,https://www.nbcnews.com/news/world/ukraine-zaporizhzhia-nuclear-power-plant-russia-shelling-grid-rcna46303,Line between Ukrainian nuclear power plant and grid disconnected,"The last reserve line connecting the Russian-held Zaporizhzhia nuclear plant to the Ukrainian energy grid was disconnected Monday after days of “intensive shelling,” the national energy company that runs the plant said. A fire caused by the shelling left transmission lines “damaged and disconnected,” Energoatom said in a statement. As a result, power from unit No. 6, which supplies the plant's own needs, was disconnected from the network. The company said in a later statement that the sixth power supply unit was “operational” but only to cool reactor cores and waste. It said that no power was going out of the plant and that generators had not been activated in response. German Galushchenko, Ukraine’s energy minister, said on Facebook that any immediate repair work on the lines was impossible because of the fighting around the plant. “The world is once again on the brink of a nuclear disaster. The de-occupation of the ZNPP and the creation of a demilitarized zone around it is the only way to ensure nuclear safety,” Galushchenko said. The International Atomic Energy Agency, or IAEA, said it had been informed that the line was deliberately disconnected to extinguish a fire. ""The line itself is not damaged, and it will be re-connected once the fire is extinguished,"" the agency said in a statement. Rafael Grossi, the director general of the IAEA, said Saturday that the plant had lost external power, with Ukrainian staff members telling the United Nations watchdog’s inspectors that the fourth and last operational line was down. Three more were lost earlier in the war. At the time, the IAEA said only one out of six nuclear reactors at the site was operational. Fears of a possible nuclear disaster have grown since Russia invaded Ukraine, and concerns deepened after the plant was completely disconnected for the first time in its 40-year history on Aug. 25. Russia and Ukraine have traded blame for problems caused by the intense fighting around the plant. World leaders, meanwhile, have called for a demilitarized zone. After he traveled to Ukraine over the past week to inspect the installation and determine whether it could continue to run safely, Grossi warned that the “physical integrity of the plant has been violated.” He said the IAEA would establish a “continued presence” of experts at the plant “so they can provide me and all of us with an impartial, neutral, technical, sound assessment of whatever may be happening there.” He added that he would “continue to worry about the plant until we have a situation that is more stable.”"
2022-09-04,https://www.nbcnews.com/politics/politics-news/us-ambassador-russia-leaving-post-ukraine-war-drags-rcna46246,U.S. ambassador to Russia leaving post as Ukraine war drags on  ,"WASHINGTON — The U.S. ambassador to Russia, John Sullivan, ended his tenure as America’s top diplomat in Moscow on Sunday after nearly three years, spanning the Trump and Biden administrations, and will retire from a lengthy career in government service, the embassy announced. His departure comes as Russia’s war with Ukraine is in its seventh month. His four-decade public service career included postings as deputy secretary of state and senior positions in the departments of Justice, Defense and Commerce. Elizabeth Rood, the deputy chief of mission to Russia, will be the top U.S. diplomat in Moscow until a successor nominated by President Joe Biden replaces Sullivan. On Saturday, Sullivan attended a farewell ceremony in Moscow for former Soviet President Mikhail Gorbachev, who died Tuesday. The departure comes as U.S.-Russian relations remain tense. Since Russia invaded Ukraine in February, the war has slowed to a grind with both sides trading combat strikes and small advances in the east and south. Both Russian and Ukraine have seen thousands of troops killed and injured, and Russia’s bombardment of cities has killed countless innocent civilians. The U.S. has imposed numerous waves of sanctions on Russia and provided billions of dollars worth of military assistance to Ukraine, shifting to a longer-term support strategy in recent weeks. In April 2021, Sullivan headed back to the U.S. for consultations after officials in Moscow “suggested” he follow the example of the Russian ambassador to Washington who was recalled from Washington after Biden described Russian President Vladimir Putin as a “killer.” A Boston native, Sullivan was nominated by President Donald Trump and confirmed by the Senate with unusually strong bipartisan support as ambassador to Russia in December 2019. Biden asked him to remain in the post when Biden took office last year."
