Date,URL,Title,Text
2022-09-10,https://www.rt.com/russia/562571-zelensky-ukraine-offensive-liberation/,Zelensky lauds ‘liberation’ of Ukraine amid Kharkov offensive,"President of Ukraine Vladimir Zelensky has celebrated the advance of his troops amid the ongoing large-scale offensive in Kherson Region in the country’s east. “The movement of our soldiers continues in different directions of the front. To date, as part of active operations since the beginning of September, about 2,000 [square] kilometers of our territory have already been liberated,” he said in a video address late on Saturday. Earlier in the day, The Russian Ministry of Defense acknowledged the withdrawal of its troops from multiple locations across Ukraine’s Kharkov region. Over the past three days, soldiers stationed in the area have been “re-deployed” to territory of the Donetsk People’s Republic, the ministry claimed. “In order to achieve the goals of the special military operation, a decision was made to regroup troops in the areas of Balakleya and Izyum in order to build up efforts in the Donetsk direction,” the Russian military said in a statement. Russia sent troops into Ukraine on February 24, citing Kiev’s failure to implement the Minsk agreements, designed to give the regions of Donetsk and Lugansk special status within the Ukrainian state. The protocols, brokered by Germany and France, were first signed in 2014. Former Ukrainian President Pyotr Poroshenko has since admitted that Kiev’s main goal was to use the ceasefire to buy time and “create powerful armed forces.” In February 2022, the Kremlin recognized the Donbass republics as independent states and demanded that Ukraine officially declare itself a neutral country that will never join any Western military bloc. Kiev insists the Russian offensive was completely unprovoked."
2022-09-10,https://www.rt.com/russia/562572-russia-humanitarian-aid-lebanon-ukraine/,Lebanon to get food aid from Russia,"Russia has approved Lebanon’s request for humanitarian aid, Lebanese ambassador Chawki Bou Nassar confirmed on Friday during a meeting with Russian Deputy Foreign Minister Mikhail Bogdanov. Moscow will send cereals, foodstuffs, oil derivatives, and other much-needed supplies, as requested by Lebanese Prime Minister-designate Najib Mikati in May. Discussions on resuming direct flights between the two countries were also progressing, Nassar said, though Western sanctions on Russian carriers and attendant restrictions on surrounding airspace mean any potential routes must meet strict requirements. The aid package is separate from another package that Russian ambassador Alexander Rudakov said had been approved by Moscow to deliver to Lebanon. That proposal would supply 40,000 tons of wheat on a monthly basis through the end of 2022, but it has only received “preliminary approval” from Lebanon. US ambassador Dorothy Shea last month sought to one-up Russia and other countries like China and Iran that have offered to help Beirut with its multilayered economic crisis, instead offering a $29.5-million donation from USAID. While Lebanon previously imported about two thirds of its wheat from Ukraine, the war has seen a sizable portion of that country’s grain exports rerouted to Europe as barter for foreign aid dollars Kiev can never hope to repay. Even before the conflict escalated in February, over 2.2 million Lebanese were facing hunger, by some estimates. PM Mikati urged the UN to provide food aid in March, pointing to a constellation of crises, including an economic collapse that reduced the Lebanese currency to a tenth of its pre-2019 value, the explosion of Beirut’s main grain storage facility in 2020, and the presence of millions of Syrian and Palestinian refugees. Even if importers are able to find substitutes for the Ukrainian grain no longer bound for Beirut, many Lebanese won’t be able to afford them, trade syndicate president Hani Bohsali told UPI in March. Negotiations with the International Monetary Fund to unlock a promised $3 billion in aid remain “ongoing,” according to Nassar, who said he expected the replacement of Mikati's caretaker government with permanent leadership would bring “confidence” to the talks. The IMF is reportedly frustrated with Hezbollah and other political factions holding out hope that offshore oil and gas fields could be the country’s financial salvation and is calling instead for the imposition of a standard debt repayment plan, fueled by the usual slate of austerity measures."
2022-09-10,https://www.rt.com/russia/562564-assault-russian-national-guard/,National guard soldier dead after attack in Russian region,"A Russian national guard service member has died of his injuries in hospital after he and his colleague were attacked by unknown assailants on Friday. Taking to Telegram on Saturday, Russia’s Investigative Committee revealed that a criminal probe had been launched into the assault. “According to the information at hand, yesterday in the Sudzhansky district of Kursk region unknown individuals attacked Rosgvardia personnel,” the officials said. They also confirmed the death of one of the national guard soldiers. The area where the assault took place is located some ten kilometers away from the Russian-Ukrainian border. Earlier, several Russian Telegram channels specializing in news coverage had offered conflicting versions of events. According to Mash, the national guard service members tried to stop a suspicious-looking van at a checkpoint. The vehicle’s occupants, however, opened fire on the law enforcement personnel. Baza, in turn, alleged that the Rosgvardia service members had located several armed men in a forest, with a shootout ensuing in which one of the law enforcement personnel was injured. The assailants managed to flee the scene. On Saturday morning, Kursk region’s governor, Roman Starovoyt posted a video message on his own Telegram channel, informing his subscribers that the authorities are still searching for the perpetrators. The region, which is adjacent to Ukraine, is currently on a heightened terror alert following repeated shelling from across the border and several sabotage attempts."
2022-09-09,https://www.rt.com/russia/562527-alfa-fridman-ukraine-donation-sanctions/,Russian tycoon offers $1 billion to Ukraine – WSJ,"Russian Alfa Bank co-founder Mikhail Fridman has offered to transfer $1 billion of his personal wealth, currently frozen under UK sanctions, to its Ukrainian subsidiary in order to help rebuild the country, according to the Wall Street Journal. Sources told the newspaper on Wednesday that the move was aimed at persuading London to drop the sanctions. “The bank would like, as one of the biggest private banks in Ukraine … to be an active player in recovering the Ukrainian economy after the war,” the supervisory board chair of the Alfa branch in Ukraine, Roman Shpek, told the outlet, explaining the funds could be used to help Kiev rebuild in areas like infrastructure, healthcare, and food and energy security. The company initially proposed the transfer in June to the National Bank of Ukraine, whose approval would be required before the matter could pass to the EU. Brussels would ultimately be responsible for allowing the funds to leave Europe, and Alfa’s Ukrainian subsidiary petitioned the Council of Europe on Fridman’s behalf last week. Fridman, who was born in the Soviet city of Lviv in western Ukraine, resigned as a director of Alfa’s parent company in March, days after the EU and UK sanctions came down. While he has not been personally sanctioned by the US, Alfa Bank is blacklisted by the Treasury Department, meaning other companies must cut ties with it or risk being sanctioned themselves, and UK entities have distanced themselves from him due to the personal sanctions there. Unnamed individuals familiar with the matter told the WSJ that Alfa’s proposal was an effort to convince London to lift the sanctions on Fridman’s assets, though he has denied making any such “quid pro quo” offer. The British Foreign Office responded that the UK “does not condone any sanctions avoidance.” Shpek insisted the donation was “a really important economic project,” stressing that the prospect of future sanctions relief had nothing to do with it."
2022-09-09,https://www.rt.com/russia/562519-iaea-zaporozhye-nuclear-plant/,Situation at nuclear plant 'precarious’ – UN,"Attacks on the Russia-controlled Zaporozhye Nuclear Power Plant must stop, Rafael Grossi, director general of the International Atomic Energy Agency (IAEA), has warned, warning of a looming “nuclear accident” at the site. In a statement on Friday, Grossi said a “serious situation” had developed at the plant, located in southern Ukraine, overnight when the power in the town where it's located was knocked out by shelling. “The power infrastructure feeding the city of Energodar, home to the NPP’s operators and their families, has been destroyed by shelling of the switchyard at the city’s thermal power plant,” Grossi explained, adding that the city was ultimately left with “no running water, no power, no sewage.” Given the “increased and continued shelling” of the nuclear facility, “there is little likelihood of re-establishing reliable offsite power,” the official warned. “The power plant has no offsite power. And we have seen that once infrastructure is repaired, it is damaged once again,” Grossi added, without assigning blame for the attacks to either Russia or Ukraine. “This is completely unacceptable. It cannot stand. I therefore urgently call for the immediate cessation of all shelling in the entire area,” he said, reiterating his call for the creation of a “safety zone” around the plant. This dramatic development demonstrates the absolute imperative to establish a nuclear safety and security protection zone now. This is the only way to ensure that we do not face a nuclear accident. Seized by Russian forces early in the conflict, the nuclear power plant and the surrounding environs have repeatedly come under missile and artillery attacks in recent weeks. While Russia has placed the blame for the shelling squarely on Kiev, Ukraine and some Western officials continue to accuse Moscow of shelling the facility controlled by its own troops. Russia previously rejected a proposal by Kiev and its Western allies to withdraw the troops providing security around the Zaporozhye facility, insisting that Ukraine would only use this as an opportunity to seize the plant, rather than ensure its actual safety. The Russian Defense Ministry has claimed Kiev has repeatedly sent in saboteur teams to capture the facility amid the recent IAEA visit to the site."
2022-09-09,https://www.rt.com/russia/562508-putin-grain-poor-nations/,Russia makes grain promise to poorest nations,"Russia is set to ramp up grain exports, seeking to supply some 30 million tons this year, President Vladimir Putin has announced. The supplies will prioritize less well off and food-insecure nations. “We believe it to be right to ramp up deliveries to the poorest countries,” Putin said during a meeting of the Security Council on Friday. “In total, by the end of this year, we will supply some 30 million tons of grain and are ready to increase this volume to 50 million tons or more, because, thank God, we have a good harvest this year,” he added. Moscow is also ready to supply fertilizers to the poorest nations free of charge, the Russian president said. “Our producers – if I remember correctly, we’re talking about potash fertilizers – are ready to deliver them free of charge to developing nations that urgently need them,” Putin said, instructing the Russian Foreign Ministry to work on the plan. The president also touched upon the UN-brokered grain deal with Ukraine, reiterating his allegations that the goods have primarily been exported to the EU rather than the developing countries in Africa that need the food supply the most. “Of the 87 ships that left the Ukrainian ports with grain, 32 remained in Turkey. And I think that this is absolutely natural, because Turkey, the host country of this entire process, certainly has the right to do that,” Putin said. Another 30 vessels were sent to EU nations, while only two ships went to “the poorest countries for UN food programs,” namely to Yemen and Djibouti, Putin said. The vessels only carried around 60,000 tons of grain on board, constituting only around 3% of grain exported by Ukraine under the deal."
2022-09-09,https://www.rt.com/news/562517-american-general-ukraine-victory-crimea/,Ukraine will retake Crimea in a year – ex-US general,"Ukraine could “restore full sovereignty” within a year, retaking all of its lost territory including Crimea, retired US General Ben Hodges told Newsweek on Thursday at the Tbilisi International Conference of the McCain Institute in Georgia. Hodges is now a lobbyist at the Centre for European Policy Analysis, a pressure group funded by NATO and US arms manufacturers. Western support for Kiev has resulted in a financial bonanza for these companies. “The Ukrainians saved their country,” Hodges gushed, declaring that “half a year after the start of the full-scale Russian invasion…the supposed second-best army in the world is now the second-best army in Ukraine,” with Russia’s “ability to conduct further offensive operations…all but exhausted.” Now, Hodges said, it was up to the US and NATO to step in and make sure the war is won, starting with a full-throated proclamation of support for Kiev. Washington should stop publicizing the cost of the military aid it sends overseas, he continued, suggesting the deliveries be framed in terms of the percentage of “what is needed for Ukraine to defeat Russia and regain their territory.” The retired general did not elaborate on how those numbers could be calculated. The administration of US President Joe Biden has poured over $44 billion into the war effort since February. While Ukraine and its Western backers have declared the Kherson counteroffensive a rousing success, boasting of recapturing several villages, Kiev has banned journalists from the front lines, making these claims difficult to verify. Russia has argued the initiative “failed miserably,” pointing to the loss of over 1,200 Ukrainian servicemen in a single day of fighting. Ukrainian MP Alexey Goncharenko echoed Hodges’ optimism in comments to Newsweek, declaring “next year will be the decisive year of the war” and that “with the help of the free world, Ukraine has an opportunity to win.” That will require a lot more weapons, he clarified, mentioning aircraft, air defense systems, and rockets superior to the HIMARS. Crimea became part of Russia in the wake of a 2014 referendum following the US-backed overthrow of the democratically-elected government of Viktor Yanukovich in Kiev. Ukraine and NATO consider it illegally annexed territory, and the US has reportedly given Ukrainian President Vladimir Zelensky the go-ahead to attack the peninsula. The Donbass republics of Donetsk and Lugansk declared their independence that same year and were recognized as independent states by the Kremlin this past February. Zelensky has vowed to retake all three regions, promising on Sunday that “Ukraine will return” to Donbass, Kharkov, Zhaporozhye, Kherson, and “definitely to Crimea.”"
2022-09-09,https://www.rt.com/russia/562505-russia-welcomes-all-tourists/,Kremlin responds to EU ditching visa deal,"Russia is interested in welcoming tourists from all over the world, even from “unfriendly nations,” Kremlin spokesperson Dmitry Peskov said during a conference call on Friday. Peskov was asked to clarify President Vladimir Putin’s comments on Wednesday that Moscow would not be introducing any visa restrictions on foreign citizens in retaliation for similar measures imposed by the EU. “The main point that the president was trying to get across was that we will continue to do what suits our interests,” the spokesperson explained, adding that introducing mirror countermeasures against the West is not always in Russia’s interests. “Of course, illegal, criminal and raider attitudes towards our businesses will be met with reciprocal steps, but these measures will be reasonable and carefully calculated,” Peskov said, noting that Russia welcomes those who are willing to invest in the country. He added that Russia remains just as inviting to foreign tourists, including those from countries that Moscow considers “unfriendly.” “After all, people need to see our country and they need to understand that what they are shown and told about Russia in their home countries is a lie,” the Kremlin spokesperson stated, noting that the only way to explain this to people is by inviting them to Russia to see the country for themselves. Nevertheless, Peskov warned that any “inappropriate behavior” towards Russian diplomats or representatives of Russian foreign delegations would be met with mirror responses in accordance with the reciprocal rule of diplomacy. The Kremlin’s comments come as the European Council officially announced on Friday that it would be scrapping the so-called Visa Facilitation Deal between Russia and the EU, citing Moscow’s ongoing military operation in Ukraine. The agreement had simplified visa application procedures for Russian citizens. Starting Monday, however, Russians will have to pay visa application fees of €80, instead of the previous €35, and will have to provide significantly more documentation, endure longer processing times and be subject to much stricter rules for the issuance of multiple-entry visas. Meanwhile, countries such as Poland, Estonia, Latvia and Lithuania have announced they would be closing their borders to all Russian tourists, even those with a valid Schengen visa. The only exceptions will be made for those traveling to see relatives or for humanitarian reasons."
2022-09-09,https://www.rt.com/news/562507-stoltenberg-ukraine-nato-support/,NATO chief warns Ukraine could collapse,"Ukraine is heading for a tough winter, NATO Secretary General Jens Stoltenberg warned on Thursday, urging Kiev to continue fighting against Russia. Otherwise, the country may “cease to exist” as an independent nation, he said. “If President [Vladimir] Putin and Russia stop fighting, then we will have peace. If Ukraine stops fighting, then Ukraine will cease to exist as an independent nation,” Stoltenberg told the AP on the sidelines of a US-led meeting in Ramstein, Germany that brought together foreign supporters of Ukraine. Stoltenberg avoided giving any time frame for how long the conflict might last but said it would end at some point with negotiations. So far, however, there has been “no sign” of Moscow giving up its objectives in Ukraine, the NATO chief said. Russia’s ultimate goal in the conflict is “taking control of Ukraine,” he claimed. “We need at least to be prepared for this winter,” Stoltenberg said, adding that the West must “continue to provide support,” including appropriate winter uniforms, generators and tents, among other things. “Winter’s coming, and winter’s going to be hard on the battlefield in Ukraine. We know that the size of the Ukrainian army is now roughly three times as big as what it was last winter,” Stoltenberg added. However, the NATO boss claimed the “war in Ukraine is approaching a pivotal moment,” asserting that the ongoing Russian offensive had “stalled” in Donbass and elsewhere. “We see that the Ukrainians have been able to fight back, to strike back and regain some territory,” he said. Moscow has repeatedly urged the US and other Western nations to stop “pumping” Ukraine with weapons and other military hardware. Top Russian officials insist that the continuous support of Kiev will only prolong the bloodshed without changing the ultimate outcome of the conflict. Russia sent troops into Ukraine on February 24, citing Kiev’s failure to implement the Minsk agreements, designed to give the regions of Donetsk and Lugansk special status within the Ukrainian state. The protocols, brokered by Germany and France, were first signed in 2014. Former Ukrainian President Pyotr Poroshenko has since admitted that Kiev’s main goal was to use the ceasefire to buy time and “create powerful armed forces.” In February 2022, the Kremlin recognized the Donbass republics as independent states and demanded that Ukraine officially declare itself a neutral country that will never join any Western military bloc. Kiev insists the Russian offensive was completely unprovoked."
2022-09-09,https://www.rt.com/russia/562501-estonia-ban-russians-schengen/,Estonian MEP complains to EU about entry ban for Russians,"Estonian MEP Yana Toom has accused her own nation’s government along with those of Latvia, Lithuania, and Poland of violating the EU’s ‘free travel’ rules by imposing a “blanket ban” on Russian citizens holding valid Schengen visas issued by other EU members. The restrictions, which were announced by the four nations earlier this week, “constitute a breach of the Schengen Border Code and seriously undermine the European legal order,” Toom wrote in a Thursday letter to Josep Borrell, the EU’s chief for foreign policy and security. The Estonian lawmaker shared the document on her social media on Friday. The Schengen ‘free travel’ rules, which apply to most EU nations and four non-EU states, allow individual members to bar holders of visas issued by other participants from their territory. But such decisions must be taken on a case-by-case basis and for a limited number of reasons, the Estonian official argued, so a general policy against Russian citizens violated them. Toom asked Borrell when the European Commission was going to send a formal letter of notice to the four nations. The Baltic countries and Poland said they would no longer allow entry to Russian tourists holding Schengen visas starting September 19. The blanket ban makes an exception for travel on humanitarian grounds. The four nations argued that Russian citizens generally posed a threat to their national security. The Baltic states had previously stopped issuing tourist and business visas to Russian citizens. Toom has served as an MEP from Estonia since 2014 and is a member of the Committee on Civil Liberties, Justice and Home Affairs. As she published her letter to Borrell, she remarked that there was a backlash against her position in the Estonian media, with critics branding her as pro-Russian."
