Date,URL,Title,Text,Topic
2022-01-05,https://www.express.co.uk/news/science/1544976/macron-eu-space-army-china-russia-defence-strategy-donald-trump,Macron plots EU space army to take on China and Russia in new defence strategy,"It comes after France took over the presidency of the EU Council on January 1. High on Mr Macron's agenda appears to be both China and Russia's influence in space. He announced last night that he would host a meeting on Europe's space strategy next month with EU ministers. He told Le Parisien: ""I will make announcements about our strategy."" It comes three years after the US former US President Donald Trump officially launched the US Space Force. Since then, many other countries – including France, Russia, China and the UK – have launched similar entities. They aim to protect nation's assets in space, conduct military operations and, if necessary, engage in space warfare. Mr Macron's call for an EU-wide strategy on space comes as Beijing and Moscow have ramped up activities in space. They have both recently conducted military drills, including the launching of missiles, which have put the lives of astronauts in danger. More concerning, Vladimir Putin and Xi Jinping have stuck an anti-NATO agreement to cooperate in space for five years. The pair will sign the new space 'Cooperation Program' next year and it will run from 2023 to 2027. It will reportedly include a plan to create an International Lunar Research Station (ILRS) by 2035. It will also include plans to support the development of the ground segment of the two countries' national satellite systems. This will come through Russia's GLONASS and China's BeiDou Navigation Satellite System (BDS, the Global Times reported. It will see Russia's Roscosmos and the China National Space Agency (CNSA) work together for years to come. Meanwhile, the US Space Force has installed a new radar system that it says will be able to detect objects the size of baseballs in orbit. The huge system, dubbed the Long Range Discrimination Radar (LRDR), has reportedly been installed at the Clear Space Force Base near Fairbanks, Alaska. It will support the US missile defence system and provide precise data on its adversaries. The decision marks a significant milestone for the work of the US Space Command and the developing arms race in space. It comes after Russia' deputy foreign minister compared the tensions on the Ukraine border to the Cuban Missile Crisis – a time where the world came the closest to nuclear war. But it also comes after Russia caught the US off-guard with an anti-satellite (ASAT) test. The Russian military destroyed a defunct satellite on November 15. It was blasted into more than 1,500 pieces and caused astronauts on board the ISS to have to shelter. The test drew widespread condemnation from U.S. officials, which Russian officials responded by calling “hypocritical” given past American military tests in space. To date, four countries – the US, Russia, China, and India – have previously destroyed their own satellites in ASAT tests. The Pentagon has now called for a global halt to ASAT weapon tests.",10
2022-01-06,https://www.express.co.uk/news/science/1545616/Russia-Rocket-Space-re-entry-Debris-ont,Russian rocket part makes uncontrolled re-entry into Earth’s atmosphere,"Officials have confirmed the part landed in the Pacific Ocean. It was from the third test flight of the Angara-A5 heavy-lift rocket, launched from the Plesetsk Cosmodrome in north western Russia on December 27 However, writing on Twitter astronomer John McDowell said the risk was low. He said:”To be clear, I do NOT regard this object as a significant risk. “Reentries for a object with dry mass of about 4 tonnes may see some debris reach the ground, but not much.” According to Russian media outlet Tass the purpose of the launch was to test a new upper stage rocket, called the Persei booster for the first time. Initially the launch was declared a success according to officials Later on however the booster appeared to suffer from engine failure. This prevented the launcher from reaching a higher than low- Earth orbit. On Wednesday evening the 18th Space Control Squadron confirmed the re-entry had occurred at 4.08pm Eastern Standard Time over the South Pacific. No other details were provided. It’s common for debris from space to burn up in the atmosphere. However large parts can be dangerous depending on where they land. Space debris has become a controversial political issue. In November the US said that debris from a Russian anti-satellite missile test had forced the crew on the International Space Station (ISS) to shelter as a precaution Last May NASA slammed China after debris used to launch that country's new space station landed in the Indian Ocean.",10
2022-01-09,https://www.express.co.uk/news/science/1546718/china-russia-space-usa-roscosmos-china-national-space-agency,China and Russia tipped to ‘rule the world’ as pair strike terrifying space partnership,"Russian space agency Roscosmos revealed that China and Russia will sign a new space Cooperation Program for 2023-2027 next year. This will include a plan to create an open and inclusive International Lunar Research Station (ILRS) by 2035. The new program will also involve plans to support the development of the ground segment of the two countries' national satellite systems, Russia's GLONASS and China's BeiDou Navigation Satellite System (BDS) to be installed next year. Roscosmos and the China National Space Agency (CNSA) also plan to work on a number of other space programmes over the coming decades. Brandon Weichert, author of Winning Space: How America Remains a Superpower warned that this could “knock the Americans back in space and in Eurasia”. He told Express.co.uk: “If China and Russia can remain firmly together in an anti-American alliance where they share money, resources, personnel, and technology...yes, they most certainly could knock the Americans back in space and in Eurasia. “And once that happens, they would rule the world. Few people in Washington appear to comprehend this. I spent years ringing that particular warning bell and no one listened. Now, they are somewhat and it may be too late.” He said the renewed battle for space harks back to the space war that blew up the escalating Cold War tensions of the 1960s. Mr Weichert told Express.co.uk: “A Sino-Russian entente in space will fundamentally shift the balance of power away from the United States, which was the undisputed champion of the first Space Race with the USSR and, following the Cold War, was the hegemon in space.” He said that while China and Russia are getting stronger in the cosmos, the US appears to be getting complacent. Mr Weichert told Express.co.uk: “Washington took its position for granted; it stopped innovating and pushing itself farther, especially in the manned spaceflight domain--we never left low-Earth orbit after we mothballed the Apollo program for God's sake. “What the Americans have always had at their disposal was an innovative private sector. ""Yet, until very recently, the big defence contractor-types dominated that area and they were neither innovative nor cheap. “Where is the all-of-society effort from the United States? Such an effort, by the way, exists in China. “ But despite the alleged lack of effort from the US, right now America does still hold the top position, according to Mr Weichert. He said: “China recognises that it still has a steep learning curve when competing against truly dynamic American companies in space. “So, now, they turn to Moscow. Russia is the second-most-powerful spacefaring nation next to America, but its space agency is out of money. “With its money and technology, paired with China's massive money resources and national will, the two powers can use their state capitalist model to easily best the sporadic Americans in space and knock the United States down from its dominant perch in orbit (and beyond). ""And that is precisely what Beijing and Moscow plan to do--especially now that US policy has driven Russia into the waiting arms of China.” China and Russia are now working on a draft of a legally binding intergovernmental agreement on a lunar mission, which is due to be signed in 2022. Roscosmos told Global Times that this will involve “an Earth-to-Lunar flight system, a lunar surface travel and operations system and automatic facilities with complexes of scientific instruments”. Mr Weichert said: “The moon missions are a priority for a few reasons. The first reason is that it puts their personnel on the best real estate on the moon before anyone else. “The second, is that they would be able to place strategic weapons on the moon which could be used to hold the world hostage according to their whims, specifically, the United States. “This was a concept that the Americans flirted with during the Eisenhower Administration, codenamed ""New Horizons. “It never got off the ground because Eisenhower did not think it was technically feasible and he worried about initiating a whole new arms race with the Soviets that would be fruitless and waste much taxpayer dollars. Sadly, he was wrong in this. “It was a missed opportunity for the United States to run the tables on the rest of the world.” He said that now that China and Russia have the opportunity to take advantage of what the US never did. Mr Weichert said: “Now, China and Russia are re-treading that old theoretical American ground and they intend on actually doing what the Americans refuse refused to do. Mr Weichert also said that there is huge economic opportunity for the new terrifying alliance to take advantage of. He said: “The moon will be home to a new industrial revolution that will produce trillions of dollars in the last half of the 21st century. “With China and Russia building on the best real estate on the moon, they will not only de facto prevent the Americans or anyone else from being there, but they will have the almighty first-mover advantage in whatever money is to be made from the moon and the subsequent space-based economy that will grow from there.”",10
2022-01-14,https://www.express.co.uk/news/world/1549646/russia-news-us-space-race-iran-north-korea-rocket-threat-bbc-spt,Why US partnered with Russia after space race to ‘stop Iran or North Korea’ rocket threat,"For decades, America and the Soviet Union were locked in a bitter battle to rule the skies above Earth. As Cold War tensions between the two powers rumbled on, the space race dominated the second half of the Twentieth Century. The Soviets were lightyears ahead of the US in the early days of their fiercely competitive, propaganda-driven relationship. In 1957, they launched Sputnik 1, the first manmade satellite to orbit Earth, following up their success four years later as Yuri Gagarin became the first man in space. However, the Americans hit back, most notably with the Moon landing in 1969 as Neil Armstrong and Buzz Aldrin became the first humans to walk on the lunar surface. Through the moon landing, the US took a major lead in the space race, with the Soviets failing several times to match the historic achievement. After the Soviet Union fell apart in 1991, the Soviet Space Program became the Russian Space Program. However, amid the turmoil, the US struck a landmark agreement with Russia to fund its faltering space programme. Details of the agreement were laid bare in the 2014 BBC Four documentary, ‘Cosmonauts: How Russia Won the Space Race’. The feature-length film, voiced by the actor Paul McGann, explains how the US was worried about the potential threats posed by North Korea and Iran as the Russian Space Program ran out of cash. The narrator said: “It was so short of funding that its very existence was threatened. “It was a prospect that terrified the Americans. “Their worst fear was that it would leave an army of rocket engineers jobless, and they would go to work for Iran or North Korea. “So instead, the American government offered to go into partnership with the Russians.” Under the arrangement, the US stood to benefit from Russia’s experience with long-term spaceflight. Meanwhile, the Russians’ own space endeavours would be boosted by American financial help. One of the first stages of the new partnership was that astronauts from NASA would live and work aboard Mir, the space station launched by the Soviet Union. The documentary features British-born astronaut Michael Foale (top picture), one of those chosen to take part in the Mir mission alongside the Russians. Mr Foale, who retired from NASA in 2013, claimed some of his colleagues were opposed to the Russia-US partnership. He said: “To be really honest, I don’t think the Americans were really keen to be involved in Mir. “They were told to be involved by the White House. “I look back on it and it was a very positive thing, but I had to be told. “The general feeling amongst American engineers was, ‘Why is the money going to Russia? It should come to our company so that we can build the space station on our own. We don’t need the Russians.’”",10
2022-01-19,https://www.express.co.uk/news/science/1552259/russia-international-space-station-spacewalk-cosmonauts-technology-spt,Russia’s ‘50-year-old’ technology key to International Space Station success,"The International Space Station (ISS) will be centre stage today as two Russian cosmonauts conduct a spacewalk. Commander Anton Shkaplerov (below) and Flight Engineer Pyotr Dubrov of Expedition 66 will leave the ISS for seven hours. They will exit the Poisk module’s airlock where they will collect their spacewalking gear. Donning their Russian Orlan spacesuits, the pair will then kit out the station’s new Prichal module. They will install handrails, rendezvous antennas, a television camera, and docking targets, according to NASA. Prichal docked to the Nauka multipurpose laboratory module on the ISS in November last year. Footage of the spacewalk will be broadcast live on NASA TV, the NASA app and the agency’s website. Amid the latest Russian spacewalk, a throwback documentary reveals just how much the country has contributed to the ISS due to the Russian space advancements throughout history. The 2014 documentary ‘Cosmonauts: How Russia Won the Space Race’ charts the Soviet Union’s infamous so-called “space race” with the US in the Twentieth Century. The feature-length film, voiced by the actor Paul McGann, examines how many Soviet technological breakthroughs are still used in space exploration today. He said: “In reality, the ISS is the greatest testament to the achievements of the mighty Soviet space programme. “Its very existence depends on technology and expertise built up by the Soviets and Russians over 50 years of space exploration.” Some of the technologies used in the ISS have their origin in the Soviet Union’s Salyut 7 space station, which orbited Earth until 1991. The ISS is also partly inspired by its predecessor, the Soviets’ Mir station, which was in use until 2001. Mr McGann added: “The station’s crucial life support systems are based on those developed on Salyut 7 and Mir. “The spacesuits they use are Russian-made, descendants of the suit [Alexei] Leonov wore on the first spacewalk and those designed to walk on the moon. “And, since 2011, the only way to get to the station has been in a Soyuz capsule mounted on the top of an R-7 rocket – updated versions of the originals designed by Sergei Korolev half a century ago. “The Soviets may have lost the race to the Moon, but our continued presence in orbit owes everything to the Russians’ determination to conquer space.” Today’s mission is the first spacewalk of 2022 and comes ahead of the first scheduled docking to Prichal in March. The docking will see a Soyuz spacecraft carrying three cosmonauts join the ISS as they become part of the Expedition 67 crew. The spacewalk will be the third in Shkaplerov’s career and the fourth for Dubrov. It is also the 246th spacewalk carried out at the space station in total. Further spacewalks are planned for later this year, including to fit a European robotic arm on the Nauka laboratory and to activate the module’s airlock. Clips from ‘Cosmonauts: How Russia Won the Space Race’ are available on the BBC Four website.",10
2022-01-19,https://www.express.co.uk/news/science/1552422/mars-uk-space-agency-built-rover-rosalind-franklin-lift-off-exomars-roscosmos-esa,UK makes huge leap for stars as British-built Mars rover gets green light for lift-off,"The UK Space Agency has announced that the Rosalind Franklin rover passed all of its latest tests. It is on course to head to the Red Planet in September after being assembled in Stevenage. Part of the ExoMars mission, the rover is a joint project of the European Space Agency (ESA) and Russia's Roscosmos Experts have been putting the probe through its paces as it has passed months of successful maintenance and functional tests. It has now been given the ""go for flight"" confirmation. It is currently in an ultra-clean room at the Thales Alenia Space premises in Turin, Italy, alongside launch partner, the Russian Kazachok landing platform. The rover will have a final review in April, before it will travel to Baikonur, Kazakhstan, for launch. Previously known as the ExoMars Rover, the Rosalind Franklin was originally due to launch for the Red Planet in the summer of 2020. But it was delayed due to the pandemic. It is now scheduled to launch this September, arriving on Mars in June 2023. Pietro Baglioni, ESA's ExoMars rover team leader, said: ""The rover is ready, and together with the recent drop test success for the parachutes, we are positive to be in time for the September launch date."" Once the rover gets to the Red Planet, it will undergo a ""nerve-wracking"" descent to the surface, after which Rosalind Franklin will leave the landing platform and drive around the surface. If all goes to plan, ESA will become the fourth agency to operate a vehicle on another world - following the Soviet Union, NASA and China. The ESA-Roscosmos ExoMars 2022 mission will launch on a Proton-M rocket with a Breeze-M upper stage from Baikonur, Kazakhstan, in the 20 September – 1 October 2022 launch window. A carrier module will transport the descent module with the Rosalind Franklin rover and Kazachok surface science platform inside, to Mars. Once the rover gets to the Red Planet, it will undergo a ""nerve-wracking"" descent to the surface, after which Rosalind Franklin will leave the landing platform and drive around the surface. If all goes to plan, ESA will become the fourth agency to operate a vehicle on another world - following the Soviet Union, NASA and China. The ESA-Roscosmos ExoMars 2022 mission will launch on a Proton-M rocket with a Breeze-M upper stage from Baikonur, Kazakhstan, in the 20 September – 1 October 2022 launch window. A carrier module will transport the descent module with the Rosalind Franklin rover and Kazachok surface science platform inside, to Mars. It aims to land in the Oxia Planum region of Mars on 10 June 2023. Sue Horne, Head of Space Exploration at the UK Space Agency, said the rover showcases some of the best of the UK space sector. She said: ""The Rosalind Franklin rover showcases some of the best of the UK’s space sector and its search for signs of life on Mars will inspire future generations of scientists and engineers. ""It’s very exciting to see this flagship mission pass the latest tests and see the fruition of many years’ hard work as we look forward to the launch later this year.""",10
2022-01-21,https://www.express.co.uk/news/science/1553010/doomsday-clock-2022-news-midnight-annihilation-europe-war-spt,Doomsday Clock stays 'closest to apocalypse' it has ever been as threat of war looms,"Today, the Doomsday Clock was unveiled for the 75th time on Thursday. It stayed at 100 seconds to midnight for the third year in a row, as the world remains the ""closest to apocalypse"" it has ever been. The Bulletin of the Atomic Scientists' Science and Security Board, the clock's keepers, said things COVID-19, climate change, disruptive technologies and threats posed by nuclear weapons were all exacerbated by ""a corrupted information ecosphere that undermines rational decision making"". They said the decision to keep the time the same as last year ""does not, by any means, suggest that the international security situation has stabilised"". In its history, the clock has been moved backwards and forwards 24 times, the farthest being 17 minutes to midnight in 1991, the nearest being today's 100 seconds. With Russia poised to attack Ukraine, many, like Julian Borger, a Washington-based journalist, had noted before the announcement that it was “hard to imagine the clock being set back ‒ and that means that the experts assess we are in greater danger now than ever.” The clock was birthed in 1947 and can be traced back to a group of international researchers called the Chicago Atomic Scientists, who took part in the Manhattan Project, which produced the world's first nuclear weapons. They began publishing a mimeographed newsletter which later became the magazine, Bulletin of the Atomic Scientists, which depicted the Clock on every cover. Eugene Rabinowitch, a co-founder of the Bulletin, summed up what the clock meant at the time: ""The Bulletin's Clock is not a gauge to register the ups and downs of the international power struggle; it is intended to reflect basic changes in the level of continuous danger in which mankind lives in the nuclear age."" The closest the clock came at the height of the Cold War was two minutes to midnight in 1953 after the first detonation of a thermonuclear warhead, a hydrogen bomb. It would remain extremely close to midnight throughout the Cold War period, with American nuclear chemist, Harrison Brown, in 1962 — the climax of the Cuban missile crisis — setting out what would be an apocalypse-predicting guest editorial in the Bulletin: ""I am writing on a plane en route from Los Angeles to Washington and for all I know this editorial … may never be published. ""Never in history have people and nations been so close to death and destruction on such a vast scale. Midnight is upon us."" But shortly after his words went to print, the Bulletin decided against moving the hands any closer to midnight, at this point being seven minutes to. This was because the shock of near catastrophe had given the US and Soviet Russia the incentive towards risk reduction and controlling arms. The farthest the clock has ever been from midnight was 17 minutes, right at the end of the Cold War period, in 1991. It has slipped back towards extinction ever since, however. This, experts say, is for a number of reasons: increasing volatility of geopolitics, the proliferation of nuclear weapons and the increased threat of climate change, which only made it into the clock's calculation in 2007. At first, the Clock was not going to be a clock at all; rather, the scientists had floated the idea of basing it on a U for Uranium, but soon dismissed the idea for something more urgent. Martyl Langsdorf, an artist whose husband Alexander was a physicist, took the imagery of countdowns and rocket launches and put them into a clock, something everyone could relate to. Rachel Bronson, the Bulletin's current president, told The Guardian that the original time on the clock of seven minutes to midnight ""conveyed urgency, but also hope, a sense that there’s something we can do about it"". She added: ""We can set it back. And all of that in an image that is not language-dependent."" The Clock certainly cut through and left the dense nature of science behind it, since breaking into mainstream culture and featuring in Cold War novels, Doctor Who, music by The Who and Iron Maiden. Prime Minister Boris Johnson even referred to it in his speech during the Cop26 summit in Glasgow, though wrongly said it was at a minute to midnight. Rachel Bronson, the Bulletin's current president, told The Guardian that the original time on the clock of seven minutes to midnight ""conveyed urgency, but also hope, a sense that there’s something we can do about it"". She added: ""We can set it back. And all of that in an image that is not language-dependent."" The Clock certainly cut through and left the dense nature of science behind it, since breaking into mainstream culture and featuring in Cold War novels, Doctor Who, music by The Who and Iron Maiden. It is important to note that the Clock is not asserting that the apocalypse is definitely near. Neither is it saying that global thermonuclear war is definitely imminent, or that climate change will kill us very soon. It is instead a warning from scientists that those things could happen if things do not change soon. You can watch the 2022 Doomsday Clock announcement live on Thursday at 3pm here.",10
2022-01-29,https://www.express.co.uk/news/science/1557615/china-news-moon-base-russia-vladimir-putin-xi-jinping-space-alliance,Xi and Putin join forces: Superpowers plot moon base in major rival to NASA plans,"This base is set to rival NASA's Lunar Gateway, a planned space station in the moon’s orbit serving as a vital hub for communication and research. Officials from the China National Space Administration (CNSA), the country's national space agency, confirmed plans to build the International Lunar Research Station (ILRS) on Friday. Working with Russia, the countries plan to finish building basic infrastructure construction for ILRS by 2035, according to Wu Yanhua, CNSA deputy director. He said that this also includes systems for energy, communication and life support. While NASA’s lunar Gateway will only orbit the Moon, this new space station will have both an orbiter and a base on the lunar surface, along with multiple exploration rovers. The two countries have also agreed to cooperate on the launch of a robotic lunar mission, Chang’e 7, around 2025, according to Liu Jizhong, director of the administration’s China Lunar Exploration and Space Engineering Center. This announcement comes as China and Russia grow increasingly closer in military and space capabilities, with the two countries holding naval exercises in the Arabian sea earlier this week. Western officials have speculated China would support Russia in the event of an invasion of Ukraine. Foreign Secretary Liz Truss said, while visiting Australia, no one should rule out Beijing aggression in the Pacific if Russia sends troops into Ukraine. She added: “Russia is working more closely with China than it ever has. ""Aggressors are working in concert and I think it’s incumbent on countries like ours to work together.” This announcement of this alliance has sparked rumours of a new space race between the US and the two countries The US has scheduled a major test of the Artemis program next month, which aims to bring back manned missions to the moon later this decade. The chief designer of China’s first lunar probe, Ye Peijian, told state media the country may be able to send astronauts to the moon for the first time by 2030. However, according to Mr Liu, Beijing wants to keep sending robotic missions to explore the presence and distribution of water as well as the poles of the moon. Most recently, China launched Chang’e 5, in 2020. It returned back to Earth last year with lunar samples. In April last year, China successfully launched Tianhe, the 22-tonne core module of Tiangong, beginning the construction of the country’s first long-term space station. According to officials in the joint program, the collaboration will also be open to global scientists. Mr Wu said: “We welcome the extensive participation of international colleagues.""",10
2022-02-02,https://www.express.co.uk/news/science/1559551/brexit-news-uk-us-space-deal-five-eye-defence-strategy-russia-china,See EU later! UK to 'deepen' relationship with US through Five Eyes space defence deal,"It comes as Defence Secretary Ben Wallace announced the Government's Defence Space Strategy. Produced by the Ministry of Defence (MoD), the paper warns that space has ""brought unprecedented advantages and new threats"". It signals directly to the likes of Russia and China who have conducted dangerous missions in the cosmos recently. Mr Wallace noted: ""As in other domains, it is vital that we continue to work within key alliances, including international partners, industry and academia, to achieve success and make the most of opportunities. ""We will deepen our close work with the US and will seek to collaborate further with Five Eyes partners, the Combined Space Operations (CSpO) partner nations, NATO and other like-minded powers, as we develop our defence space capabilities."" Yesterday, the Government committed £1.4billion extra funds to ""bolster our national interests in space"". According to a statement, £968 million of the billion-pound investment will be committed to delivering a multi-satellite system. Dubbed the ISTARI Programme, the system is planned to support greater global surveillance and intelligence for military operations. Another £61 million is earmarked to explore “cutting-edge” laser communications technology to deliver data from space to Earth at a speed equivalent to superfast broadband. The new investment is on top of the existing £5billion already upgrading the UK’s Skynet satellite communications capability. The statement continues to state that an additional £127million invested over the next four years will develop a network of satellites designed to integrate space with land, air, sea and cyber. The new programme, “MINERVA”, will “present the UK’s ability to autonomously collect, process and disseminate data from the UK and allied space assets to support frontline military decision-making”. Mr Wallace noted: ""It’s crucial we continue to push the frontiers of our defence space ambitions, enhancing our military resilience and strengthening our nation’s security. ""This significant investment will help to ensure the UK remains at the forefront of space innovation and one step ahead of our competitors."" It comes after the UK was kicked out of the EU's Galileo project following Brexit. The system, which goes live in 2026, features a Public Regulated Service (PRS) that can be used by government agencies, armed forces and emergency services. The bloc decided this ""crucial feature"" would only be accessible for EU members, despite the UK developing its ""brains and heart"". The UK identified space as a priority for the first time in the earlier Integrated Defence Review. Britain has been operating in space continuously since 1988 and boasts a world-leading sovereign satellite communications capability. The UK Space Command, established in July 2021, will lead the defence space approach.",10
2022-02-04,https://www.express.co.uk/news/science/1560919/solar-storm-russia-radio-blackout-coronal-mass-ejection-met-office-prediction,Solar storm havoc: Russia suffers 'long-lasting' radio BLACKOUTS as particles batter Earth,"A coronal mass ejection (CME) blasted out the Sun’s outer layer on January 29, sending with it fast solar winds and a geomagnetic storm that catapulted into the Earth’s atmosphere on February 3. These storms bring billions of tonnes of fast-moving solar particles as well as the magnetic field that binds them. When these crash into the Earth’s atmosphere, it can cause chaos down below, including the chance of radio blackouts. These can cause problems in an “intrusive and long-lasting way”. It now appears that the “ongoing” solar storm has caused this issue for Russia. Space weather physicist Tamitha Skov wrote on Twitter” Here's: “Here's what aurora from the ongoing solar storm is doing to VHF radio in Russia now. “This is why solar storms often impact amateur radio in an intrusive and long-lasting way. Ms Skov shared an audio clip of a Russian radio in which the solar winds could be heard interfering with the broadcast. But this comes at a time when there are reports that 100,000 Russian troops are piled up at the border with Ukraine and look poised to invade. US Space Weather Center (SWPC) ranks solar storms on a scale of ""G1 Minor"", the least intense, all the way up to ""G5 Extreme"". But even the weaker solar storms are able to interrupt radio communications with the high-energy radiation that they can bring. This radiation is said to cover the entire electromagnetic spectrum. Elements like the ultra-violet and X-rays will cause changes in the Earth’s ionosphere (the upper part of the Earth’s atmosphere), resulting in these radio communication issues. The Met Office’s space weather forecast said of the CME launched on January 29: “Early indications showed that minor geomagnetic storm levels were reached, but subsequent data from the British Geological Society showed that in fact moderate geomagnetic storm levels where reached with unsettled to active conditions following for the rest of the day.” When solar storms are stronger, they can cause even more disruption. According to the the SWPC, when strong CMEs collide with Earth’s magnetosphere “all of that extra radiation can damage the satellites we use for communications and navigation, it can disrupt power grids that provide our electricity”. This can lead to power outages that could even last days if solar storms are at their strongest. But even the weakest of storms threaten ""power-grid fluctuations"" and have a ""minor impact on satellite operations"", and of course, radio blackouts. And the Met Office warned that the storm is not over. Its website says: ”Solar winds will probably remain elevated for much of today, with a chance of briefly becoming strong. “Tomorrow (5th) the solar wind may temporarily decrease to slightly elevated levels, before returning to elevated levels.” It also warned that “there is also a chance (30 percent) of a Minor Storm interval today and also day 3 (20 percent), but especially tomorrow (50 percent).",10
