Date,URL,Title,Text,Novelty,Transience,Resonance,Topic
2022-10-31,https://www.rt.com/russia/565699-un-dirty-bomb-inspection/,UN inspectors visit Ukrainian nuclear sites,"International Atomic Energy Agency (IAEA) inspectors have begun “verification activities” at two locations in Ukraine, the US body announced on Monday. Russia has accused Kiev of using these sites to produce a ‘dirty bomb’, which would then be detonated to frame Moscow and draw NATO forces into the conflict. The inspectors’ work will be completed soon, and IAEA Director General Rafael Grossi will present his initial conclusions later this week, the UN organization stated in a press release. While the IAEA said that the inspections were performed at the request of the Ukrainian government, Russia initially singled out the two facilities – the Institute for Nuclear Research in Kiev and the Vostochny Mining and Processing Plant in Dnipropetrovsk Region – as locations where Ukraine was allegedly preparing a radioactive ‘dirty bomb’. In a letter to the UN Security Council last week, Russian envoy Vassily Nebenzia said that staff at these locations “have received direct orders from [Ukrainian President Vladimir] Zelensky’s regime to develop such a dirty bomb,” and that plans to create such a device were “at their concluding stage.” The IAEA announced last Thursday that it would investigate these claims, which have been denied by Kiev and dismissed as false by Western leaders. Russian Defense Minister Sergey Shoigu phoned his counterparts in the US, UK, France, Türkiye, India, and China last week to warn them of a possible provocation by Ukraine. Meanwhile, Russian President Vladimir Putin also referenced the two nuclear facilities in a lengthy speech, adding that he believed Kiev was attempting to cover its tracks ahead of the IAEA’s visit. A ‘dirty bomb’ is not a nuclear bomb in the traditional sense. Rather, it uses conventional explosives to scatter radioactive material over a wide area. Ukrainian Foreign Minister Dmitry Kuleba described Russia’s allegations last week as “absurd,” suggesting that Moscow may harbor its own plans to detonate such a device. Russia has repeatedly stated that it will not use nuclear weapons in Ukraine, and the US intelligence community has acknowledged that there is no evidence it plans to. The IAEA said that it had investigated one of the nuclear sites a month ago and found “no undeclared nuclear activities or materials” there. However, Nebenzia cautioned Grossi to “be vigilant,” as the two locations are not the only ones where a dirty bomb could be built.",0.0,0.0,0.0,9
2022-10-31,https://www.rt.com/russia/565698-putin-grain-deal-suspension/,Putin clarifies position on grain deal,"The grain deal between Moscow and Kiev has not met its stated goals, Russian President Vladimir Putin said on Monday. Most of the Ukrainian agricultural products exported under the agreement have not reached the poorer nations they were supposedly intended for and have instead ended up in Europe and Türkiye, he argued. Putin said Moscow was suspending its participation in the deal, but not fully withdrawing from it. The deal was promoted to “secure the interests of the poorer nations,” he said, adding that, according to Russian intelligence, the real structure of Ukraine’s grain exports is vastly different. “We agreed to that [grain deal] precisely in the interests of the poorer nations,” the Russian president said. “On the whole, it looks like 34% of [the Ukrainian] grain gets to Türkiye, 35% or even more is taken by the EU nations and only between three and four … or five percent, according to our Agriculture Ministry … goes to the poorer nations,” Putin said. His words came as the Russian military closed the Black Sea grain corridor used to export Ukrainian grain under the agreement reached in Istanbul in July. The agreement – mediated by the UN and Türkiye – was initially hailed as critical for easing the global food crisis and helping the world’s poorest nations avoid starvation. Russia has since repeatedly pointed out that the grain, in fact, goes to other destinations. Moscow decided to halt its participation in the deal following a massive drone attack on its naval base in the Crimean port city of Sevastopol last week. According to the Russian Defense Ministry, the naval drones used in the attack navigated through the grain corridor’s security zone to reach their targets. One of them might have even been launched from a civilian vessel chartered to transport Ukrainian grain shipments, it added. Earlier on Monday, Kremlin spokesman Dmitry Peskov said that Russia was ready to compensate the missing Ukrainian grain export volumes from its own stocks. At the same time, he said that Moscow could not yet name the conditions that would make it resume its participation in the deal. In the wake of Moscow’s decision to suspend its participation in the deal, the UN has insisted that “food must flow” regardless of circumstances. Civilian vessels “can never be a military target or held hostage,” the UN coordinator for the Black Sea grain initiative, Amir Abdulla, said. Russia has previously said that it could not guarantee the security of the grain corridor if Kiev used it for military purposes.",0.0,0.0,0.0,7
2022-10-31,https://www.rt.com/russia/565697-gazprom-nord-stream-inspection/,Nord Stream blasts were ‘act of terrorism’ – Putin,"Russian President Vladimir Putin has described the damage to the two Nord Stream pipelines under the Baltic Sea, telling reporters on Monday evening what Gazprom investigators saw after being allowed to inspect the site. “It was an obvious act of terrorism,” Putin explained during a press conference in Sochi, following his meeting with leaders of Armenia and Azerbaijan. When the September blasts that damaged Nord Stream came up, the Russian president said that Gazprom was allowed to inspect the damage. Sweden had refused to involve Russia in the investigation, citing information “that is subject to confidentiality directly linked to national security.” The blast “tore off” a 40-meter section of the pipe and separated the lines by 250 meters, Putin said, adding there was “a piece bent by 90 degrees and thrown against another part of Nord Stream.” Putin also described accusations in the West that Russia itself might have been behind the blasts as “nonsense.” Moscow has fingered the UK as taking part in “planning, supporting and implementing” the plot to destroy the gas pipeline from Russia to Germany. The defense ministry in London responded by accusing Russia of “peddling false claims of an epic scale” in order to distract from its “disastrous handling of the illegal invasion of Ukraine.” Since “European partners” have made it difficult for Russia to work with them, Moscow chose Türkiye for the construction of a natural gas hub instead, Putin said, calling Turkish President Recep Tayyip Erdogan “a man of his word.”",0.0,0.0,0.0,8
2022-10-31,https://www.rt.com/russia/565696-tinkov-citizenship-russia-renounces/,Business mogul renounces Russian citizenship,"Oleg Tinkov, the founder of one of Russia’s largest private banks, has revealed that he has renounced Russian citizenship due to Moscow’s “crazy war” in Ukraine. On Monday, the tycoon shared an English-language copy of a “certificate of the ending of the citizenship of the Russian Federation,” issued in Geneva on October 26, on Instagram. “I can’t and won’t be associated with a fascist country, that started a war with their peaceful neighbor and killing [sic] innocent people daily. It is a shame for me to continue to hold this passport,” Tinkov wrote. He expressed hope that “more prominent Russian businessmen” would follow his lead in order to weaken “Putin’s regime and his economy.” He concluded the post by saying that he hated “Putin’s Russia,” but loved all Russians “who are clearly against this crazy war.” In a Russian version of his statement, Tinkov called himself “a true Russian hero.” Публикация от Oleg Tinkov (@olegtinkov) Unlike the US, Russia doesn’t impose an exit tax on people who renounce their citizenship. Tinkov, who was convicted of tax fraud in 2021 and agreed to pay more than $500 million in penalties, allegedly lied about his net worth to avoid the exit tax when he renounced his US citizenship in 2013. Since Russia sent troops into Ukraine on February 24, Tinkov’s fortune has dramatically decreased. According to the Bloomberg Billionaires Index, his net worth exceeded $8 billion in November last year. By early March, amid Western sanctions on the Russian banking system, Tinkov’s shares slumped by more than 90% and his fortune shrank to less than $1 billion, according to Forbes. In April, after being subjected to UK sanctions, he sold his family’s share in TSC Group, which controls Tinkoff Bank, to Interros – a company controlled by one of the richest people in Russia, Vladimir Potanin. At the time, Tinkoff Bank, which is considered to be the world's largest digital bank, was not commenting on its founder’s political stance but announced a change of name plan. Tinkov is not the first business mogul to renounce his Russian citizenship. On Monday, Bloomberg reported that the co-founder and chief executive officer of the London-based fintech startup Revolut, Nikolay Storonsky, had also cut ties to his homeland. Earlier this month, Moscow-born and California-based billionaire Yuri Milner renounced his Russian citizenship. Several other Russian-born businessmen tried to distance themselves from their native country amid public outrage in the West over the Ukraine conflict and efforts by the US and its allies to seize the assets of so-called oligarchs with ties to the Kremlin. Milner was among at least seven Russian billionaires who asked US-based Forbes magazine to refrain from mentioning their national origins.",0.0,0.0,0.0,5
2022-10-31,https://www.rt.com/russia/565694-partial-mobilization-completed-ministry/,Partial mobilization completed in Russia – MoD,"Russia’s partial mobilization campaign has been completed, the defense ministry annouced on Monday. All military district commanders were ordered to report on the results of the enrollment by November 1, officials added, noting that its points across Russia would now return to their normal work and no further reservists would be called up. “All the measures linked to the call-up… of reservists have been halted,” the ministry said, adding that no draft notices would be issued from now on. The announcement comes as Russia is about to start its regular conscription draft, which was postponed until November 1 because of the mobilization. In addition to their regular functions, the military induction centers will only accept volunteers and those willing to join Russia’s professional armed forces as contract servicemen, the ministry added. Earlier, Defense Minister Sergey Shoigu said some 13,000 people had volunteered for the armed forces without waiting for summonses. “No additional tasks are planned,” the minister said last week, commenting on potential further call-ups. Russian President Vladimir Putin ordered the partial mobilization of troops in Russia on September 21. The defense ministry said at the time that it planned to boost the strength of the standing army by some 300,000 people amid the protracted conflict with Ukraine, which Moscow launched in late February. Last week, Shoigu told Putin the mobilization drive had reached the targeted results, with 300,000 reservists drafted as planned. According to the defense minister, 82,000 mobilized troops were sent to the conflict zone. Another 218,000 draftees were getting ready for combat duty at training centers and training grounds, he said at that time. In mid-October, Putin said he expected the enrolment of military reservists to be completed in “approximately” two weeks. Some regions, including the Russian capital of Moscow, filled their mobilization quotas early. Moscow Mayor Sergey Sobyanin announced an end to the capital’s enrollment efforts on October 17, adding that the city had completed its plan for calling-up military reservists.",0.0,0.0,0.0,2
2022-10-31,https://www.rt.com/russia/565692-grain-deal-gate-closed/,Russia closes Black Sea ‘grain corridor’,"The Russian military has shut the so-called “grain corridor” used to ship Ukrainian agriculture products through the Black Sea. The move was provoked by the actions of Kiev, which has used the route to launch attacks, the Russian Defense Ministry explained, on Monday. The announcement follows a Ukrainian drone offensive, in the early hours of Saturday morning, which damaged some Russian ships used to police the Black Sea. Moscow has blamed the UK for the incident, near Sevastopol, and said a British Navy unit masterminded operations from the port of Ochakov. London has dismissed the accusation. “Any navigation through the security corridor designated under the Black Sea [grain shipment] initiative will be halted until the situation around the Ukrainian … terrorist attack on the military and civilian vessels in Sevastopol is cleared up,” the Russian Defense Ministry outlined in a statement. Officials also said that Kiev had specifically committed not to use the corridor for military purposes. At the same time, it maintained that Russia is not withdrawing from the deal but only suspending it for an indefinite period of time. Earlier on Monday, Kremlin spokesman Dmitry Peskov said that Russia was ready to compensate for the missing Ukrainian grain exports to the poorer nations from its own stocks. He also warned that the grain deal has become “much more risky, dangerous” now since Russia cannot guarantee maritime security in the waters of the designated grain corridor. Russia is “still in contact” with other parties, including the UN and Türkiye, Peskov said, adding, however, that Moscow was not ready to be talked into resuming its participation in the deal. A dozen ships carrying Ukrainian grain were cleared to leave Turkish ports earlier on Monday. The Joint Coordination Centre (JCC) in Istanbul agreed on a plan to inspect a further 40 vessels, despite Moscow’s decision to suspend the deal. It is unclear whether it will follow up on its plan now.",0.0,0.0,0.0,7
2022-10-31,https://www.rt.com/russia/565651-lieberman-israel-ukraine-mirotvorets/,Israeli finance minister added to Kiev’s ‘kill list’,"Israeli finance minister, Avigdor Lieberman has been added to the controversial Mirotvorets website “enemies of Ukraine” database on Sunday. The authors of the site, which is believed to have links to the Ukrainian security services, described Lieberman as an “agent of influence” for Russia, who had been manipulating publicly significant information in favor of Moscow. They also blamed him for taking part in acts of “humanitarian aggression” against Ukraine. Among the actions that led to Lieberman being placed on the list, were his refusal to finance an Israeli field hospital in Ukraine in March and his neutral stance on who is to blame for the massacre in the Kiev suburb of Bucha in April. The website also shared a link to an article, claiming that he had ties with Russian gas giant Gazprom. Ukrainian authorities have frequently expressed their disappointment with the level of support they’ve been getting from Israel during the conflict with Russia. The country has only provided Kiev with humanitarian aid and life-saving defense equipment, but not weapons and munitions. Israel also refrained from joining international sanctions on Moscow. Last week, Liberman said that Israeli assistance to Ukraine since the outbreak of the fighting between Russia and Ukraine in late February amounted to some $40 million. Liberman has been finance minister since 2021. He’s a veteran politician, who has occupied various high positions in the Israeli government over the years, including foreign minister, defense minister, and deputy PM. The 64-year-old is also the head of Yisrael Beiteinu (Israel Our Home), which holds seven seats in the country’s parliament, the Knesset. Liberman was born in Chisinau, Moldova when the republic was part of the Soviet Union and immigrated to Israel in 1978. The Mirotvorets website, translated as ‘peacemaker’, was launched in 2014, positioning itself as an independent database run by anonymous moderators to help Ukrainian authorities and “special services” apprehend pro-Russian terrorists, separatists, and war criminals, among others. However, some have branded the database a ‘kill list,’ which is backed by the government, after several individuals, including writer Oles Buzina, politician Oleg Kalashnikov, and Russian journalist Darya Dugina were assassinated shortly after their profiles appeared on the website. The most recent high-profile additions to Mirotvorets included Kazakhstan's president, Kassym-Jomart Tokayev, Pink Floyd co-founder Roger Waters. There were claims that the world’s richest man, Elon Musk, was put on the database in mid-October, but swiftly removed from it. The alleged addition happened after Musk offered a peace plan, which envisaged Kiev giving up territories to Moscow.",0.0,0.0,0.0,5
2022-10-31,https://www.rt.com/russia/565654-food-grain-deal-un/,‘Food must flow’ – UN grain deal chief,"Amir Abdulla, the UN coordinator for the Black Sea grain initiative, has insisted that civilian cargo vessels should never be military targets. Moscow pulled out of the scheme, which was mediated by the UN and Türkiye in July, after a Ukrainian attack on the port of Sevastopol. “Civilian cargo ships can never be a military target or held hostage. The food must flow,” the UN official tweeted on Monday. On Sunday, the Joint Coordination Center (JCC) in Istanbul announced that UN, Turkish and Ukrainian officials had given the green light to 16 ships for navigation along the corridor for October 31. Russia was informed about the decision, it said. According to maritime traffic data, at least two ships left the Ukrainian Black Sea port of Odessa in the morning, reporting Istanbul as their destination. The Russian Defense Ministry announced on Saturday that it was suspending its participation in the arrangement after an aerial and sea drone attack on the Crimean port of Sevastopol, which it attributed to Ukraine. The Ukrainian military used the corridor designated for passage of food transports during the attack, the ministry claimed. One of the drones may have been deployed from a civilian vessel previously hired to haul cargo under the scheme, it added. Moscow has long complained about the implementation of the agreement, stating that grain shipped out of Ukraine was predominantly going to rich European nations rather than countries hit most by surging food prices. It also blamed the UN for failing to secure relief from Western sanctions, which are hampering Russian exports of food and fertilizers. Moscow proposed donating some of the products to the needy for free. On Saturday, Russian Agriculture Minister Dmitry Patrushev said the country was ready to send the world’s poorest nations up to 500,000 tons of grain within the next four months. Before the deal was reached, Kiev and its foreign supporters accused the Russian government of putting people in poor nations at risk of hunger by allegedly blocking exports of grain via the Black Sea. Moscow denied the claim and said civilian traffic was free to go, as far as Russia was concerned, and blamed sea mines deployed by Ukraine for putting ships at risk. The terms of the deal agreed with Türkiye and the UN includes several security provisions, including inspections by experts of the JCC for the possible smuggling of weapons.",1.634262067829597,2.1571113366857118,-0.5228492688561148,7
2022-10-31,https://www.rt.com/russia/565639-ukraine-missile-attacks-energy/,Airstrikes on critical infrastructure reported across Ukraine,"Officials in Ukraine reported Russian attacks on critical infrastructure on Monday, with one claiming that some 40 missiles had been detected in the air. Moscow insisted that all targets had been successfully hit. All Ukrainian regions sounded the alarm in the morning, with the media reporting explosions in several parts of the country, including the capital Kiev. Anton Gerashchenko, an aide to the interior minister, urged people to take cover in shelters, claiming on social media that “at the moment, there are already 40 [Russian] missiles” incoming at targets in the country. Some hits have been confirmed by regional officials. Kiev Mayor Vitaly Klitschko reported that strikes on the capital had caused a partial blackout and disrupted the water supply. He said that due to damage to energy infrastructure, some 350,000 apartments were without power, while around 80% of consumers didn’t have water. Kharkov Mayor Igor Terekhov, said there were two airstrikes, which targeted a “critical infrastructure site.” The city’s metro system also suspended work. Igor Taburets, the head of the Cherkasy regional administration, reported an attack on critical infrastructure too, adding that it had caused a partial blackout. His counterpart in Vinnitsa Region, Sergey Bozov, claimed that one missile was intercepted and “fell on civilian sites.” A report on social media, claimed a transformer station serving the Dnieper hydropower plant in the city of Zaporozhye had been hit. Footage purportedly shot near the station’s dam showed black smoke billowing into the sky. Local authorities, loyal to Kiev, confirmed the strike and warned of possible blackouts, but offered no details. Russia started targeting Ukrainian energy sites earlier this month. President Vladimir Putin justified the change of tactic by what he described as Kiev’s ‘sabotage’ attacks on critical Russian infrastructure. The final straw was the deadly bombing of the Crimean Bridge, he said. Ukrainian officials confirmed significant damage to the national energy system. Grid operator Ukrenergy introduced rolling blackouts in many regions, stating that reduced consumption was necessary to avoid a total collapse. Kirill Tymoshenko, the deputy head of President Vladimir Zelensky’s office, previously announced that starting this week the outages would become “regular, not an emergency response,” calling the situation difficult.",3.862301558669745,4.279386973476867,-0.4170854148071217,0
2022-10-30,https://www.rt.com/russia/565629-road-accident-cars-dozens/,Multiple vehicle collision blocks Moscow highway (VIDEO),"More than 50 vehicles on Sunday evening were involved in a series of accidents in the western part of the Russian capital, TASS news agency reported, citing a source in Moscow’s emergency services. The news came on a day when Moscow saw its first snowfall of the season. “There were several minor accidents involving 54 cars, a motorcycle, and a Moscow city bus. As a result, according to updated data, five people were injured, one of them a child,” the agency's source said. Two people have been hospitalized, according to TASS. RIA Novosti’s source in the capital police said that about 20 cars were involved in a road accident, while the agency’s source in the emergency services said the number of affected vehicles could be as high as 50. The Moscow state traffic inspectorate has not specified the number of cars involved but confirmed the incident took place on the overpass on Ryabinovaya street and that “several vehicles were damaged.” Two people “sought medical attention,” according to the authority. Earlier on Sunday, due to severe weather, the Moscow Transport Department recommended car owners avoid driving unless they had changed the car tires to winter ones. An ice weather warning will be in place for Moscow until the evening of November 1, and a wind warning until Monday morning.",3.3538131477627036,4.277196328615649,-0.9233831808529458,0
