Date,Source,URL,Title,Text,Topic,Novelty,Transience,Resonance,Topic2
2022-11-06,CBS,https://www.cbsnews.com/news/ukraine-war-russia-brutality-donetsk/,"Ukraine warns of Russian ""brutality"" in contested eastern region","Kyiv, Ukraine — Russian forces are stepping up their strikes in a fiercely contested region of eastern Ukraine, worsening the already tough conditions for residents and the defending army following Moscow's illegal annexation and declaration of martial law in Donetsk province, Ukrainian authorities said. The attacks have almost completely destroyed the power plants that serve the city of Bakhmut and the nearby town of Soledar, Pavlo Kyrylenko, the region's Ukrainian governor, said. Shelling killed one civilians and wounded three, he reported late Saturday. ""The destruction is daily, if not hourly,"" Kyrylenko said in a state television interview. Moscow-backed separatists controlled part of Donetsk for nearly eight years before Russia invaded Ukraine in late February. Protecting the separatists' self-proclaimed republic there was one of Russian President Vladimir Putin's justifications for the invasion, and his troops have spent months trying to capture the entire province. While Russia's ""greatest brutality"" was focused in the Donetsk region, ""constant fighting"" continued elsewhere along the front line that stretches more than 1,000 kilometers (620 miles), Ukrainian President Volodymyr Zelenskyy said in his nightly video address. Between Saturday and Sunday, Russia's launched four missiles and 19 airstrikes impacting more than 35 villages in seven regions, from Chernihiv and Kharkiv in the northeast to Kherson and Mykolaiv in the south, according to the president's office. Russia has focused on striking energy infrastructure over the last month, causing power shortages and rolling outages across the country. The capital, Kyiv, was scheduled to have hourly blackouts rotating Sunday in various parts of the city of some 3 million and the surrounding region. Rolling blackouts also were planned in the Chernihiv, Cherkasy, Zhytomyr, Sumy, Kharkiv and Poltava regions, Ukraine's state-owned energy operator, Ukrenergo, said in a Telegram post. More positive news was the re-connection of the Zaporizhzhia Nuclear Power Plant to Ukraine's power grid, local media reported Sunday. Europe's largest nuclear plant needs electricity to maintain vital cooling system, but it had been running on emergency diesel generators since Russian shelling severed its outside connections. In the Donetsk city of Bakhmut, some 15,000 remaining residents were living under daily shelling and without water or power, according to local media. The city has been under attack for months, but the bombardment picked up after Russian forces experienced setbacks during Ukrainian counteroffensives in the Kharkiv and Kherson regions. In Kharkiv, officials are working to identify bodies found in mass graves after the Russians withdrew, Dmytro Chubenko, a spokesperson for the regional prosecutor's office, said in an interview with local media. DNA samples have been collected from 450 bodies discovered in a mass grave in the city of Izium, but the samples need to be matched with relatives and so far only 80 people have participated, he said.",17,0.0,0.0,0.0,17
2022-11-05,CBS,https://www.cbsnews.com/news/russia-cafe-blaze-kills-at-least-13-people-injures-5/,"Russia cafe blaze kills at least 13 people, injures 5","MOSCOW — A fire in a cafe in the Russian city of Kostroma killed at least 13 people and injured five others on Saturday, local authorities said. The governor of the Kostroma region, Sergei Sitnikov, said 13 people died in the fire and five more were slightly injured. Russian news agency Interfax cited local emergency officials as saying that the death toll stood at 15. The contradicting numbers couldn't be immediately reconciled. The blaze erupted in the early hours after someone apparently used a flare gun, according to the authorities. The Russian state news agency RIA Novosti reported that a brawl erupted in the cafe shortly before the fire, but it wasn't immediately clear if it had anything to do with the use of a flare gun. Rescuers were able to evacuate 250 people. The roof of the cafe collapsed during the fire, which engulfed an area of 3,500 square meters (more than 37,000 square feet). Firefighters spent five hours battling the blaze, and a dozen residents of a nearby residential buildings were evacuated as a precaution. A criminal investigation has been launched, and the police have arrested a suspect. Ikhtiyar Mirzoyev, a member of the regional legislature and owner of the cafe, promised assistance to those affected by the fire. Kostroma, a riverside city of 270,000, is located roughly 340 kilometers (210 miles) north of Moscow. It wasn't the first time that pyrotechnics caused a deadly fire at a recreational venue in Russia. In 2009, more than 150 people were killed in a blaze at the Lame Horse nightclub in the city of Perm that erupted after someone set off fireworks.",17,2.0865834372533074,3.480789774125949,-1.3942063368726414,9
2022-11-05,CBS,https://www.cbsnews.com/news/power-blackouts-announced-across-ukraine-amid-russian-shelling/,Power blackouts announced across Ukraine amid Russian shelling,"KYIV, Ukraine — Ukraine's state electricity operator on Saturday announced regular scheduled blackouts in Kyiv and seven other regions of the country in the aftermath of Russia's devastating strikes on energy infrastructure. The move comes as Russian forces continue to pound Ukrainian cities and villages with missiles and drones, inflicting damage on power plants, water supplies and other civilian targets, in a grinding war that is nearing its nine-month mark. Russia has denied that the drones it has used in Ukraine came from Iran, but the Islamic Republic's foreign minister on Saturday for the first time acknowledged supplying Moscow with ""a limited number"" of drones before the invasion. Hossein Amirabdollahian claimed, however, that Tehran didn't know if its drones were used against Ukraine and stated Iran's commitment to stopping the conflict. Ukrenergo, the sole operator of Ukraine's high-voltage transmission lines, said in an online statement Saturday that scheduled blackouts will take place in the capital and the greater Kyiv region, as well as several regions around it — Chernihiv, Cherkasy, Zhytomyr, Sumy, Poltava and Kharkiv. The outages for ""certain groups of consumers"" will occur daily ""in accordance with a specific schedule drawn up by operators of distribution networks for each region,"" the statement said. The outages are expected to last for six and more hours each day. Ukraine has been grappling with power outages and disruption of water supplies since Russia started unleashing massive barrages of missile and drone strikes on the country's energy infrastructure last month. Moscow has said those came in response to what it alleged were Ukrainian attacks on Crimea, the region that Russia illegally annexed in 2014. Ukraine has denied those allegations. Meanwhile, Russian shelling of Ukrainian regions continued into the early hours of Saturday. About 40 shells were fired overnight at the city of Nikopol, Dnipropetrovsk Gov. Valentyn Reznichenko said on Telegram. The Russian forces targeted the city and the areas around it from heavy artillery. Two fires broke out, and more than a dozen of residential and utility buildings, as well as a gas pipeline, were damaged, the official said. Elsewhere in the region, the Ukrainian forces shot down a drone and another projectile, according to Reznichenko. In the southern Mykolaiv region, the overnight shelling of rural areas damaged several houses, but didn't cause any casualties, Mykolaiv Gov. Vitali Kim said on Telegram. The Russian forces also fired missiles at the southeastern Zaporizhzhia region, which has been illegally annexed by Moscow and large parts of which remain occupied. According to regional Gov. Oleksandr Starukh, the attack took place shortly after midnight and damaged buildings of three businesses, as well as a number of cars. In the eastern Donetsk region, also annexed and partially occupied by Russia, eight cities and villages have been shelled, including Bakhmut, Avdiivka and Porkovsk. According to Ukraine's presidential office, at least three civilians were killed and eight others were wounded over the past 24 hours by Russian shelling of nine Ukrainian regions, where drones, missiles and heavy artillery were used. In the Russian-occupied Kherson region, where a Ukrainian counteroffensive is underway, the Russian military continue to abduct local residents, the presidential office said, with the most recent cases taking place over the past 24 hours.",17,2.328161880168914,7.068048658073736,-4.739886777904822,17
2022-11-04,CBS,https://www.cbsnews.com/news/ransomware-attacks-2021-fincen-report-billion/,Ransomware crimes netted more than $1 billion last year,"Victims of cybercrime shelled out a record $1.2 billion to have their data returned last year as ransomware attacks have grown in size and intensity, according to newly released federal data. The Financial Crimes Enforcement Network, or FinCEN, reported that banks processed a billion-plus dollars last year in what were likely ransomware payments. That's more than double the amount of money from 2020, the report concluded. The top five highest-paid ransomware incidents all came from attackers who were connected to Russia, FinCEN said. The report ""reminds us that ransomware — including attacks perpetrated by Russian-linked actors — remains a serious threat to our national and economic security,"" Himamauli Das, FinCEN's acting director, said in a statement this week. Ransomware is a type of computer hack where an attacker accesses someone's digital device and locks the owner out of their own files. After the lockout, the hacker contacts the owner and demands a payment before restoring access to the files. If there's no payment, the hacker threatens to keep the owner locked out or delete the files completely. FinCEN, which started in 1990, is an arm of the U.S. Department of Treasury charged with tracking international money laundering, terrorist financing and other financial crimes. FinCEN said hackers initially focused ransomware attacks on individuals, but have graduated to targeting large companies and demanding bigger payouts. Hackers in 2019 created a variation of ransomware attacks called double extortion, where they lock owners out of their files and then threaten to publish the data — which is often private or potentially embarrassing — if a payment isn't made. Indeed, 2021 had some of the biggest ransomware attacks on record aimed at large companies and nonprofits. A Russian hacking group attacked the Colonial Pipeline, one of the largest pipelines in the U.S., in May 2021. The company paid $4.3 million to retrieve its data, but federal authorities later recovered at least $2.3 million of the paid ransom. Hackers also attacked Planned Parenthood, Sinclair Broadcasting, Shutterfly and payroll processing company Kronos last year. All told, organizations reported 1,489 ransomware attacks to FinCEN in 2021, a 188% increase from 2020, the agency said. More recently, a ransomware attack last May marked the last straw for Lincoln College, a historically Black college in rural central Illinois that opened in 1865. The school gave hackers a $100,000 ransom, a payout that compounded financial troubles caused by plummeting enrollment in recent years. The 157-year-old institution shuttered in May. Ransomware attacks have become more common with the rise in remote work and e-learning, with schools becoming particularly vulnerable. The Biden administration brought together three dozen nations, the European Union and a slew of private-sector companies for a two-day summit this week looking at how best to combat the attacks. President Biden earlier this year signed a new law that requires owners of factories, banks, nuclear reactors and other critical infrastructure operations to report when their computer systems are hit with ransomware. Reporting is currently optional for ransom victims, making it difficult to calculate the full impact of the crime.",3,4.373706214433765,2.8671807307636166,1.5065254836701487,7
2022-11-03,CBS,https://www.cbsnews.com/news/microsoft-extends-aid-for-ukraines-wartime-technology-innovation/,microsoft,"LISBON, Portugal — Ukraine is counting on more Western technological support as its war against Russia drags on, with Microsoft pledging Thursday to extend its backing for Kyiv's ""extraordinary"" wartime innovation through the end of next year. Microsoft's financial commitment of more than $400 million enables the Ukraine government and other organizations to continue using the Microsoft cloud and its public data centers across Europe, the company's president, Brad Smith, announced at the annual Web Summit tech conference in Lisbon, Portugal. Cloud technology offers resilience and security for Ukraine operations, Smith said, after Russia targeted Ukrainian data centers with air strikes when it invaded more than eight months ago. The invasion triggered ""extraordinary innovation"" by the Ukrainian military, Smith said. Ukraine and Russia are fighting ""a new type of war,"" with cyberweapons and other types of digital technology playing a pivotal role, he said. Artificial intelligence deployed by Kyiv, for example, is detecting and thwarting Russian cyberattacks ""in the blink of an eye,"" according to Smith. Microsoft is also working with the U.S. Army on AI and image recognition. Ukraine and Russia are engaged in ""a technology war,"" according to Mykhailo Fedorov, Ukraine's Vice Prime Minister and Minister of Digital Transformation. Fedorov, appearing with Smith at a news conference, pointed to the Delta real-time battle management system developed by Ukraine. The situational awareness platform integrates information about the enemy from various sensors and sources, including AI and drones, on a digital map.",3,3.3141980597704497,6.540506176857011,-3.2263081170865617,1
2022-11-03,CBS,https://www.cbsnews.com/minnesota/news/russia-us-ukraine-biological-weapons-lab-claims-un-security-council-vote/,U.N. Security Council rejects Russia's call to probe debunked U.S.-Ukraine biological weapons claims,"United Nations — The U.N.'s 15-nation Security Council voted down on Wednesday a proposal by Russia to create a commission to investigate Moscow's unsubstantiated claims of a joint U.S.-Ukrainian ""military biological"" program. Russia has leveled allegations since March that programs in Ukraine sponsored by the U.S. Defense Department were in violation of the Biological Weapons Convention, an international law regulating weaponized toxins. Moscow has offered no verifiable proof of such work, and the U.S. Defense Department, the White House and Ukraine have consistently refuted the allegations. The U.N.'s disarmament chief, Izumi Nakamitsu, said in March that while the global body did not have the capacity to investigate, the U.N. was not aware of any biological weapons program in Ukraine. As the Security Council voted Wednesday on the resolution brought by Russia, U.S. Ambassador Linda Thomas-Greenfield said Washington and Ukraine had been ""through Russia's allegations in Geneva, point by point, and debunked every single one."" She said Russia's claims were ""based on disinformation, dishonesty, bad faith, and a total lack of respect for this body."" ""The United States does not have a biological weapons program. There are no Ukrainian biological weapons laboratories supported by the United States,"" insisted Thomas-Greenfield. During a series of U.N. meetings prompted by the Russian allegations, the U.S. has described the non-military biological labs it has supported in Ukraine since the 1990's, including one called the ""Biological Threat Reduction Program"" that was created to disassemble the former Soviet Union's programs, to ""reduce legacy threats from nuclear, chemical, and biological weapons left in the Soviet Union's successor states."" In May, CBS News correspondent Chris Livesay visited the Ukrainian facility at the heart of Russia's disinformation campaign, the Virology Reference Laboratory in Kyiv, and spoke with the chief researcher and scientists whose work there had been dedicated for years to containing dangerous pathogens. The facility has always been regularly inspected by international agencies, including the World Health Organization. Their work changed abruptly, however, when Russian forces invaded Ukraine on February 24 and the shelling began. ""They bombed a building right nearby,"" Dr. Natalia Vidayko, the lab's top scientist, told Livesay. From that day, the Ukrainian government ordered the lab, and others in the country, to destroy all particularly dangerous biological strains they had in storage, Vidayko said. ""They're completely destroyed,"" she repeated to Livesay, who found minimal security — amounting to one tired old guard dog — when he visited the lab in Kyiv. Despite the clear flaws with Russia's claims, Moscow brought its draft resolution to the U.N. Security Council this week — embedded within a 310-page document of claims and complaints — calling for a ""commission consisting of all members of the Security Council to investigate"" the allegations. Only Russia and China voted in favor of the measure, with the other three veto-wielding permanent members of the Council, the U.S., U.K. and France, voting against it. The 10 elected members of the Council abstained, so the measure was defeated. Analysts, Western diplomats and the Pentagon have suggested that Russia's disinformation about the biological labs is really a ""false flag,"" aimed at creating a pretext to blame Ukraine and the U.S. for a possible biological or chemical attack that Russia's own forces could carry out in Ukraine. President Biden warned in March that Russia would pay a ""severe price"" if it did use biological or chemical weapons in Ukraine. Russia's deputy Ambassador to the U.N., Dmitry Polyansky, said his country would take the issue to a U.N. meeting on the biological weapons convention in Geneva, which takes place between November 28 and December 16, claiming the U.S. and Ukraine had ""placed themselves above the law."" After Wednesday's vote, U.K. Ambassador Barbara Woodward said Russia's claims that Ukraine's Western allies had failed to consider Moscow's evidence were ""completely false."" ""Russia's allegations have no credible basis in fact,"" she said. French Ambassador Nicolas de Riviere told diplomats at the Council meeting that Russia ""must stop this irresponsible disinformation campaign,"" dismissing Moscow's ""so-called evidence"" and insisting that it ""deserves no further consideration.""",3,4.226845205970328,5.264183446913981,-1.0373382409436536,5
2022-10-31,CBS,https://www.cbsnews.com/seattle/news/china-space-station-component-mengtian-third-last/,China launches third and last component of its space station,"Beijing — China on Monday launched the third and final module to complete its permanent space station, realizing a more than decade-long endeavor to maintain a constant crewed presence in orbit. Mengtian was blasted into space at 3:39 p.m. local time (3:39 a.m. EDT) Monday from the coastal Wenchang Satellite Launch Center on the southern tropical island province of Hainan. A large crowd of amateur photographers, space enthusiasts and assorted lookers-on watched the lift-off from an adjoining beach. Many waved Chinese flags and wore T-shirts emblazoned with the characters for China, reflecting the deep national pride invested in the space program and the technological progress it represents. Mengtian, or ""Celestial Dream,"" joins Wentian as the second laboratory module for the station, collectively known as Tiangong, or ""Celestial Palace."" Both are connected to the Tianhe core module where the crew lives and works. Like its predecessors, Mengtian was launched aboard a Long March-5B Y4 carrier rocket - a member of China's most powerful family of launch vehicles from Hainan. Mengtian was due to spend 13 hours in flight before reaching Tiangong, which is populated by a crew of two male and one female astronauts, according to the China Manned Space Agency. Chen Dong, Cai Xuzhe and Liu Yang arrived in early June for a six-month stay, during which they will complete the station's assembly, conduct space walks and carry out additional experiments. Following Mengtian's arrival, an additional un-crewed Tianzhou cargo craft is due to dock with the station next month with another crewed mission scheduled for December, at which time crews may overlap — Tiangong has room to accommodate six astronauts. Mengtian weighs about 20 tons and is 58.7 feet long, with a diameter of 13.8 feet. It will provide space for experiments in zero gravity, an airlock for exposure to the vacuum of space, and a small robotic arm to support extravehicular payloads. The already orbiting 23-ton Wentian laboratory is designed for science and biology experiments and is heavier than any other single-module spacecraft currently in space. Next year, China plans to launch the Xuntian space telescope which, while not a part of Tiangong, will orbit in sequence with the station and can dock occasionally with it for maintenance. In all, the station will have about 3,880 cubic feet of pressurized interior space. China's crewed space program is officially three decades old this year. But it truly got underway in 2003, when China became only the third country after the U.S. and Russia to put a human into space using its own resources. The program is run by the ruling Communist Party's military wing, the People's Liberation Army, and has proceeded methodically and almost entirely without outside support. The U.S. excluded China from the International Space Station because of its military ties. Prior to launching the Tianhe module, China's Manned Space Program launched a pair of single-module stations that it crewed briefly as test platforms. The permanent Chinese station will weigh about 66 tons - a fraction of the size of the ISS - which launched its first module in 1998 and weighs around 465 tons. With a lifespan of 10-15 years, Tiangong could one day find itself as the only space station still running if the ISS adheres to its 30-year operating plan. China has also chalked up success with un-crewed missions, and its lunar exploration program generated media buzz last year when its Yutu 2 rover sent back pictures of what was described by some as a ""mystery hut"" but was most likely only a rock of some sort. The rover is the first to be placed on the little-explored far side of the moon. China's Chang'e 5 probe returned lunar rocks to Earth for the first time since the 1970s in December 2000 and another Chinese rover is searching for evidence of life on Mars. Officials are also considering a crewed mission to the moon. The program has also drawn controversy. In October 2021, China's Foreign Ministry brushed off a report that China had tested a hypersonic missile two months earlier, saying it had merely tested whether a new spacecraft could be reused. China is also reportedly developing a highly secret space plane. China's space program has proceeded cautiously and largely gone off without a hitch. Complaints, however, have been leveled against China for allowing rocket stages to fall to Earth uncontrolled twice before. NASA accused Beijing last year of ""failing to meet responsible standards regarding their space debris"" after parts of a Chinese rocket landed in the Indian Ocean. China's increasing space capabilities were featured in the latest Pentagon defense strategy released Thursday. ""In addition to expanding its conventional forces, the PLA is rapidly advancing and integrating its space, counterspace, cyber, electronic, and informational warfare capabilities to support its holistic approach to joint warfare,"" the strategy said. The U.S. and China are at odds on a range of issues, especially the self-governing island of Taiwan that Beijing threatens to annex with force. China responded to a September visit to Taiwan by U.S. House Speaker Nancy Pelosi by firing missiles over the island, holding wargames and staging a simulated blockade.",3,5.230038230849133,7.362699488091396,-2.1326612572422627,5
2022-10-31,CBS,https://www.cbsnews.com/sanfrancisco/news/russia-ukraine-war-critical-infrastructure-hit-again-several-cities/,"Russia pounds Ukrainian cities with missiles, knocking out water and power","Kyiv — A massive barrage of Russian strikes on Monday morning hit critical infrastructure in Kyiv, Kharkiv and other Ukrainian cities. Russian missiles knocked out water and power supplies in the attack, which was apparent retaliation for what Moscow claims was a Ukrainian attack on its Black Sea Fleet over the weekend. Russia's Defense Ministry said its forces carried out ""strikes with long-range high-precision air and sea-based weapons against the military command and energy systems of Ukraine."" ""The goals of the strikes were achieved. All designated targets were hit,"" the ministry said in a statement. Ukraine's air force said it shot down 44 of more than 50 cruise missiles that were launched by Russia, but Ukrainian Prime Minister Denys Shmyhal said missiles and drones hit 10 Ukrainian regions and damaged 18 objects, most of which were energy facilities. Hundreds of localities in seven Ukrainian regions were left without power, he said in a Facebook post, adding that ""the consequences could have been much worse"" if the Ukrainian forces hadn't shot down most of the Russian missiles. Loud explosions were heard across the Ukrainian capital in the early morning as residents prepared to go to work. Many received text messages from the emergency services about the threat of a missile attack, and air raid sirens wailed for three straight hours. Kyiv Mayor Vitali Klitschko said that 80% of consumers in the city of 3 million people were left without water supplies because of the damage to a power facility. Local authorities were working to restore the supplies as soon as possible, Klitschko said, telling Kyiv residents in the meantime to ""stock up on water from the nearest pump rooms and points of sale."" Andriy Yermak, the head of the office of President Volodymyr Zelenskyy, vowed that the attacks on civilian facilities would not weaken Ukraine's resistance. ""We will persevere, and generations of Russians will pay a high price for their disgrace,"" Yermak said. The attacks came two days after Russia accused Ukraine of a drone attack against Russia's Black Sea Fleet off the coast of the annexed Crimean Peninsula. Ukraine has denied the attack, saying Russia mishandled its own weapons, but Moscow still announced that it was halting its participation in a U.N.-brokered deal to allow safe passage of ships carrying grain from Ukraine. It was the second time this month that Russia unleashed a massive barrage of strikes on Ukrainian infrastructure. On October 10, a similar attack rocked the war-torn country following an explosion on the Kerch Bridge, the sole land link between Ukraine's Russian-occupied Crimean Peninsula and the Russian mainland. Moscow blamed Kyiv for blast, but Ukraine never publicly accepted responsibility. Monday's attacks occurred just before Czech Prime Minister Petr Fiala and many top members of his government, including the foreign, defense and interior ministers, arrived in Kyiv in the latest show of support from European leaders for Ukraine. Prime Minister Shmyhal said that in the Kyiv, Zaporizhzhia, Dnipropetrovsk and Kharkiv regions, emergency power shutdowns were underway. ""Today, just like in previous weeks, it is important that Ukrainians consume energy mindfully and reduce the load on the grid,"" the official said. Kyiv region Governor Oleksii Kuleba said one person was wounded and a number of houses were damaged in the morning attacks. ""The Kremlin is taking revenge for military failures on peaceful people who are left without electricity and heat before the winter,"" Kuleba said. In the eastern city of Kharkiv, two strikes hit critical infrastructure facilities, according to authorities, and the subway ceased operating. Officials also warned about possible power outages in the city of Zaporizhzhia resulting from the strikes there. The city of Zaporizhzhia still held by Ukrainian forces, but about 20 miles away in the city of Enerhodar sits Europe's biggest nuclear power plant. Fighting around the Russian-occupied plant has fueled concern for months over a possible accident, or even a deliberate attack leading to widespread radiological contamination. The Lviv region in western Ukraine was also targeted on Monday, but the missiles were shot down, Lviv Governor Maksym Kozytskyy said.",17,6.268293594467107,4.649464628585586,1.6188289658815211,17
2022-10-29,CBS,https://www.cbsnews.com/news/norway-mikhail-mikushin-identitied-accused-russian-spy-posing-brazilian-researcher/,Identity revealed of accused Russian spy posing as Brazilian researcher in Norway,"A prosecutor with Norway's domestic security agency on Friday gave a Russian name for the man who entered the country as a Brazilian but is suspected of spying state secrets for Russia. Thomas Blom of Norway's Security Service said the man's name was Mikhail Mikushin, adding authorities were ""not positively sure of his identity, but we are quite certain that he is not Brazilian."" The man was detained Monday in the Arctic city of Tromsoe, where he worked at the Arctic University of Norway. Norwegian media have said he called himself Jose Assis Giammaria. Norwegian authorities said he was 44, born in Russia in 1978. Mikushin is a senior Russian military intelligence officer, according to a researcher at the investigative website Bellingcat. ""Great job, Norway, you've caught yourself a colonel from the GRU (Russia's military intelligence agency),"" Bellingcat researcher Christo Grozev tweeted. Blom told a press conference that the suspect faces a ""temporary"" charge of spying and that preliminary charge could change as the investigation into the case had just begun. If found guilty of violating Norway's espionage laws, the man faces up to three years in jail. At first he was arrested in view of expelling him. ""There is an imminent danger of tampering with evidence,"" Blom said, explaining why the suspect was detained for four weeks. On Friday, his lawyer in Oslo, Marijana Lozic, told Norwegian news agency NTB that the man denies any wrongdoing. ""Our view is that, just gaining access to some of these research environments, which are premise providers for the authorities, for policy formulation, is of significant national importance,"" Blom said of the suspect. The university rector told Norwegian broadcaster NRK that to his knowledge no data has been stolen or information had been taken ""that could damage our research."" However, ""it could undermine the legitimacy of our professional environment,"" said Dag Rune Olsen. The suspect arrived in Norway in 2021, and has researched the northern regions and hybrid threats, Norwegian media said. Norway's Arctic border with Russia is 123 miles long. In Canada, where the man also studied, he identified himself as Jose Assis Giammaria, according to Canadian Press. The news agency said the University of Calgary had reported that the man also attended the Alberta school and graduated in the fall of 2018 with a master of strategic studies. Canadian Press also said a 2015 convocation program from Ottawa's Carleton University shows Giammaria had graduated with a honors bachelor of arts in political science with a concentration in international relations. In addition to the suspected spy, Norway has in recent weeks arrested nine Russian nationals. They are accused of flying drones in its airspace in violation of a ban introduced since the war in Ukraine, or having photographed sensitive sites in restricted areas. Russian fishing trawlers, still allowed to dock in some Norwegian ports despite an EU ban, and research vessels have also drawn suspicion in Norway. Norway, which has overtaken Russia as Europe's biggest supplier of natural gas since the war in Ukraine, has beefed up security at strategic sites. That step was taken after mysterious drones were observed near some oil and gas installations following the suspected sabotage of Nord Stream's two Baltic Sea pipelines. AFP contributed to this report.",3,5.157178766906624,5.19255486601767,-0.03537609911104678,10
2022-10-26,CBS,https://www.cbsnews.com/news/ukrainian-refugees-told-not-to-return-energy-networks-will-not-cope/,"Ukrainian refugees told not to return this winter because energy networks ""will not cope""","Ukrainians who fled their war-torn country should not return this winter because Ukraine's energy system — damaged by a wave of Russian attacks — cannot cope, Ukraine's deputy prime minister said Tuesday. ""I ask you not to return. We have to survive the winter,"" Iryna Vereshchuk said on a live television broadcast. A number of recent Russian strikes have targeted energy infrastructure, resulting in widespread power outages, according to Ukrainian officials. ""Unfortunately, the networks will not cope,"" Vereshchuk said. ""You see what Russia is doing. Do not [come back]. If there is an opportunity to stay for the time being, spend the winter abroad."" Last week, Ukrainian President Volodymyr Zelensky outlined the scale of the damage to Ukrainian power systems. ""Attacks by Russian cruise missiles and Iranian combat drones have destroyed more than a third of our energy infrastructure,"" Zelenskyy said. ""Russian terror against our energy facilities is aimed at creating as many problems as possible with electricity and heat for Ukraine this fall and winter so that as many Ukrainians as possible move to European countries."" Over the weekend, the deputy head of the Ukrainian presidency, Kyrylo Tymoshenko, said over a million Ukrainian households were left without power after multiple Russian attacks across the country. The deputy mayor of Lviv, Serhiy Kiral, also told CBS News partner network BBC News that Russia's strategy was to bring the war beyond frontline areas by damaging critical infrastructure ahead of the winter. Meanwhile on Wednesday, a senior Ukrainian official said Russian forces were preparing for the ""heaviest of battles"" in the occupied southern region of Kherson, after Russian-installed regional leaders ordered thousands of civilians to evacuate the area. The region's main city is the largest urban area controlled by Russia in Ukraine, and Ukrainian forces have been making advances toward it in recent weeks. An adviser to Zelenskyy, Oleksiy Arestovych, said there was no sign Russian forces were leaving the area, and Ukraine's intelligence chief said Russia was sending more troops to the region and preparing to defend it, BBC News reported.",17,5.219154422303233,5.409184986290922,-0.1900305639876887,17
