Date,Source,URL,Title,Text,Topic,Novelty,Transience,Resonance,Topic2
2022-10-10,HuffPost,https://www.huffpost.com/entry/bbc-reporter-takes-cover-missiles-hit-kyiv-live-on-air_n_6344a49ce4b0e376dc04bba2,BBC Reporter Forced To Take Cover As Missiles Hit Kyiv Live On Air,"A BBC correspondent covering the Ukraine conflict had to duck for cover during a live broadcast after Kyiv was targeted by Russian airstrikes on Monday morning. Hugo Bachega was reporting from central Kyiv on the escalating conflict after a bridge connecting the annexed area of Crimea to Russia was blown up on Saturday. The Kremlin has blamed the attack on Ukraine. “So the fear is that this could trigger a very strong Russian response. We saw yesterday that a residential area of the city of Zaporizhzhia, a major city in the south of the country, very close to the front lines was hit,” Bachega said, before he was distracted by the sound of an airborne missile. He ducked out of view of the camera as an explosion was heard. The BBC threw it back to the studio, where the anchor said Bachega had taken cover “for obvious reasons.” Within the hour, Bachega delivered another report, noting that the airstrike had hit close to his hotel in the city center. “We understand that several explosions have happened here in the capital, and we had an update from the emergency services saying that several people have been killed and wounded,” he reported. He later posted on Instagram that he was safe, but was having a “busy and depressing day” reporting from a parking lot, ostensibly underground to shelter from airstrikes. A post shared by Hugo Bachega (@hugobachega) At least 11 deaths and scores more injuries were reported Monday after Russia launched a major volley of strikes on cities across Ukraine. At least eight people were killed in Kyiv, according to city officials, with dozens more injured. Many of the locations hit appeared to be residential or key infrastructure sites, the Associated Press reported. Russian President Vladimir Putin said the strikes were ordered in retaliation for the Crimea bridge explosion.",47,,,,24
2022-09-24,HuffPost,https://www.huffpost.com/entry/rape-torture-ukrainian-children-independent-international-commission-united-nations_n_632e83efe4b0695c1d825ab1,"UN Report Reveals Russian Forces Raped, Tortured Ukrainian Children","Russian troops raped and tortured children in Ukraine, and brutally executed a “large number” of civilians among an appalling list of “war crimes” uncovered in a shocking investigation for the United Nations. The Independent International Commission of Inquiry on Ukraine — convened in March and staffed by international legal experts — reported the disturbing findings Friday in Geneva, describing a long list of appalling abuses and atrocities by Russian forces. “Based on the evidence gathered by the commission, it has concluded that war crimes have been committed in Ukraine,” Erik Mose, a Norwegian judge and chairman of the three-member commission, said in a statement to the U.N. Human Rights Council. ""War crimes have been committed in Ukraine.""-- Independent International Commission of Inquiry tells @un_hrc. Among the most disturbing crimes the commission has documented involve cases in which children were “raped, tortured and unlawfully confined,” according to the findings. The age of “victims of sexual and gendered-based violence ranged from 4 to 82 years,” Mose said in a statement. In some cases ”relatives were forced to witness the crimes,” Mose noted in his statement. Children were also killed and wounded in “indiscriminate attacks” on civilians by Russian forces using explosive weapons, the investigation found. Commission members “were struck by a large number of executions and other violations by Russian forces, and the Commission received consistent accounts of torture and ill-treatment,” Mose noted in his statement. The commission is continuing to investigate executions in 16 towns and settlements, and has “credible allegations regarding many more cases of executions, which we are documenting further,” Mose added. Many of the examined bodies showed evidence of “prior detention of the victims, as well as visible signs of executions ... such as hands tied behind backs, gunshot wounds to the head, and slit throats,” the commission found. The findings have been consistent with reports of war crimes from other international human rights groups, Western governments and Ukrainian authorities. The U.N. Human Rights Monitoring Mission in Ukraine earlier this year documented illegal killings — including summary executions of civilians — in more than 30 settlements in the Kyiv, Chernihiv, Kharkiv and Sumy regions by Russian armed forces while they controlled these areas in late February and March. The Independent International Commission headed by Mose also investigated atrocities in the same areas. Investigators visited 27 towns and settlements and interviewed more than 150 victims and witnesses, according to the report. They also inspected “sites of destruction, graves, places of detention and torture,” as well as remnants of weapons, said Mose.",45,,,,5
2022-09-16,HuffPost,https://www.huffpost.com/entry/russia-recruit-convicts-ukraine-war_n_63244089e4b082746be8d8a2,"Russia Recruits Convicts For War Due To 'Increasingly Severe' Manpower Shortage, UK Says","Russia is being forced to recruit prison inmates due to an “increasingly severe” manpower shortage, according to the U.K. Ministry of Defense. Inmates are being offered cash payments and having their sentences commuted to persuade them to sign up for the war in Ukraine. The news comes after Ukraine re-took large parts of previously occupied land in the north and east of the country in what many see as a potential turning point in the war. According to the latest MoD intelligence update, Kremlin-linked private military company the Wagner Group is carrying out the prison recruitment drive. They said the scheme was first launched in July, but has now been “reinvigorated” as Moscow continues to suffer major losses in the war. Latest Defence Intelligence update on the situation in Ukraine - 16 September 2022 Find out more about the UK government's response: #StandWithUkraine 🇺🇦  The MoD said: “Prisoners have been offered commutation of their sentences as well as cash incentives. “This has been reinvigorated, with recently posted video highly likely showing Wagner owner Yevgeny Prigozhin making a recruitment pitch to prisoners. In the video, Prigozhin emphasises that he is only seeking ‘fighters for assault units.’” In a further sign of Russia’s need to get more troops to the frontline, the MoD said Moscow’s military academies “are shortening training courses and bringing cadets graduation dates forwards.” “This is almost certainly so cadets can be deployed to support the Ukraine operation,” they said. “The impact of Russia’s manpower challenge has become increasingly severe. “The acceleration of officer cadets’ training, and Wagner’s demand for assault troops suggests that two of the most critical shortages within the military manning crisis are probably combat infantry and junior commanders.”",7,,,,19
2022-09-09,HuffPost,https://www.huffpost.com/entry/mark-milley-ukraine-russia-war_n_631b148ae4b027aa405aa8bd,Gen. Milley Says Russia Has Failed To Meet Strategic Objectives But War Isn't Over,"Joint Chiefs of Staff Chairman Mark Milley said Thursday that Russia has failed to meet its strategic objectives in the first six months of President Vladimir Putin’s brutal campaign against Ukraine. Speaking alongside Defense Secretary Austin Lloyd in Germany following a meeting of the Ukraine Defense Contact Group, the top general said the Ukrainian people have shown “superior tactical proficiency” and “a superior will to fight.” “The war is not over, but so far, the Russian strategic objectives have been defeated,” Milley said. Milley added that the U.S. and other allies have helped supply Ukraine with the weapons systems it needs to defend itself, noting the detrimental effect this has had on Russia’s ability to continue fighting. “Russian lines of communication and supply channels are severely strained,” Milley said. He continued: “They’re having great difficulty resupplying their forces and replacing their combat losses.” But Russia on Thursday disputed that Western weapons have helped Ukraine make progress, according to The Associated Press. “The Russian army consistently, with minimal risk for its soldiers and civilians is destroying not only the old weaponry of Soviet models, which the Eastern European countries are discharging, but also the modern NATO weapons,” said Vassily Nebenzia, Russia’s ambassador to the United Nations. Milley also provided a rundown of the war, pointing to Russia’s early strategic failures after it invaded Ukraine on Feb. 24. “They didn’t seize the capital, they didn’t topple the government, they didn’t get to the Dnipro River, and they didn’t seize Odesa,” Milley said, using the Ukrainian name for the Dnieper River. That forced Russian forces to pivot in mid-April and focus instead on seizing the Donbas and holding Odesa at risk, Milley explained. These efforts have also been unsuccessful, he said. “They have only crossed the Dnipro River in the south, in the vicinity of Kherson,” Milley said, adding that at the start of this month the Ukrainians launched their own counteroffensive in the south. Austin on Friday told reporters that Ukraine has recently made progress in this operation. “We see success in Kherson now. We see some success in Kharkiv, and so that is very, very encouraging,” Austin said, according to Reuters. The U.S. officials, though, were keen to emphasize that the conflict is far from over. “Russia’s a big country. They have very serious ambitions with respect to Ukraine. So sustainment of Ukraine to continue their fight for their survival will be necessary,” Milley said. Secretary of State Antony Blinken visited the Ukrainian capital Kyiv as the U.S. released a package of over $2 billion in military support to Ukraine and 18 neighboring countries threatened by Russian aggression, in addition to the $675 million Austin announced just for Ukraine, the AP reported.",7,,,,20
2022-09-08,HuffPost,https://www.huffpost.com/entry/ukraine-defense-ministry-pusha-t-tweet_n_631a4219e4b0ed021df06aa0,Ukraine's Defense Ministry Quotes Rapper Pusha T To Report Russian Combat Losses,"The Ukrainian Defense Ministry used a lyric from rapper Pusha T on Wednesday to announce current Russian casualties and equipment losses in the war. Since Russian President Vladimir Putin’s troops invaded Ukraine in February, the Russian military has lost more than 50,000 troops, 4,500 armored combat vehicles and 2,000 tanks, according to the defense ministry’s Twitter post. “I put numbers on the boards,” the post reads, tagging Pusha T. ""I put numbers on the boards.""@PUSHA_T Total combat losses of the enemy from Feb 24 to Sep 7:  The post is part of a broader effort by Ukraine to engage with popular culture to bolster its cause. That includes quips about casualties. On Tuesday, the defense ministry posted a similar update with the line “I see dead people” from the movie “The Sixth Sense.” Previously, the ministry has quoted songs by Queen, Bananarama and The Game, as well as references to movies like Rambo, The Big Lebowski, Pulp Fiction and celebs like Mike Tyson, according to NME.com. Pusha T responded to the tweet on Tuesday, writing, “Great taste in music for the win...” Great taste in music for the win…",7,,,,8
2022-07-02,HuffPost,https://www.huffpost.com/entry/russia-ukraine-genocide_n_62bfae39e4b014f50a321a67,Congress Wary Of Calling Russia’s Actions In Ukraine ‘Genocide’,"More than 350 Ukrainian villagers held in an overcrowded school basement for 28 days, leaving 10 dead. More than a million Ukrainians forcibly relocated to Russia since the war in Ukraine started, including more than 180,000 children. An 11-year-old Ukrainian boy, raped as his mother was tied to a chair and forced to watch. The mounting allegations against Russia over its invasion of Ukraine have been described as war crimes or even crimes against humanity. But human rights groups and others are debating if they amount to genocide, at least as defined in international law. Declaring Ukrainians to be the victims of a genocide may not have huge practical implications, but the historic weight of the word, with its overtones of the Holocaust, the killing fields of Cambodia and the breakup of Yugoslavia, may matter more. War crimes and crimes against humanity are deplored, but genocide by its nature implies the need for more forceful, immediate action. And though President Joe Biden has said he thinks it’s genocide, that concern over the obligations the label would impose may be why there’s wariness on Capitol Hill to follow suit. Rep Steny Hoyer (Md.), the second-ranking Democrat in the House and a former chair of the human rights-focused U.S. Helsinki Commission, said he was not sure if the word “genocide” was applicable because he thought of it in terms of ethnic groups. “The way I think about genocide is Hitler getting rid of the Jews or, frankly, to some degree, what we did with Indians or what Christians did to the Muslims because they were Muslims in the Crusades,” he said. Though that perception is widely shared, it’s actually not the definition under international law. “People confuse genocide with mass murder and mass atrocities,” said Azeem Ibrahim, director of special initiatives for the New Lines Institute for Strategy and Policy in Washington, pointing to the definition in a 1948 international treaty. “The number of people being killed is not relevant to what the Genocide Convention actually says. What is relevant is the intent of the parties to eliminate a group in whole or in part using all the various means at their disposal,” he said. If that intent exists, genocide can include: The accusations against Russia certainly check off many of those boxes. Aside from the above incidents cited in a report by New Lines and the Raoul Wallenberg Centre for Human Rights, Russia has been accused of indiscriminately bombing civilian targets, including apartment buildings and malls; blocking the transport of and stealing Ukrainian grain exports; and bombing health care facilities, including a maternity hospital in Mariupol. In April, Dmitry Peskov, a spokesperson for Russian President Vladimir Putin, denied Russian troops had committed atrocities. Russia has also claimed that conditions in the eastern part of Ukraine it had seized were akin to genocide for Russian-speaking people before it invaded. Still, the report by New Lines and the Wallenberg Centre said Russia was guilty of “incitement to commit genocide” and a “pattern of atrocities” from which an intent to destroy the Ukrainian people could be inferred. Human Rights Watch, a New York-based group, said it is observing and documenting what’s happening in Ukraine. Rachel Denber, the group’s deputy director for Europe and Central Asia, said it was documenting “grave breaches” of international law and “heinous acts of murder, torture, inhuman conditions of detention.” “I think it’s really important to focus on the evidence that we are documenting and what it is that our findings are so far because they’re really quite serious. The crime of genocide has a very specific threshold for intent, and while evidence of intent may become apparent, for now the most effective thing we can do is to continue to do our documentation of the conduct of the Russian forces,” she said. But even some old foreign policy hands on Capitol Hill are reluctant to go as far as the human rights community may be headed. “I don’t put this in the same category as the Holocaust,” said Rep. Brad Sherman (D-Calif.), a member of the House Foreign Affairs Committee since 1997. “I guess if you looked at the whole of Ukraine together, you could add up a lot of atrocities that might add up to [genocide].” Sherman, who supports aiding Ukraine, said the cost of justice has to be weighed against the costs to the U.S., the costs to the Ukrainians fighting and the risk of a nuclear war. Senate Minority Leader Mitch McConnell (R-Ky.), a staunch Ukraine supporter, also demurred when asked if he thought Russia had crossed the line. “I’m in favor of helping Ukraine and giving them what they need to beat the Russians,” he said. “If you could walk the streets of Irpin and Hostomel, like I did, and listen to the stories that those people told about what the Russian soldiers did — this is a genocide. The world needs to recognize it as such.” The State Department, which has recognized three instances of genocide since 2021 — the treatment of Muslim Uyghurs in China, the Rohingya in Burma and the Armenians in Turkey in 1915 — also has yet to follow Biden’s lead to add Ukraine to that list. “We are aware of the New Lines Institute report. We are deeply concerned by the report’s findings and by what we are seeing, particularly with respect to the apparent gratuitousness of violence by members of Russia’s forces,” a State Department spokesperson told HuffPost. “That is why we are working with allies and partners to gather, review and preserve evidence of atrocities and make it available to the appropriate bodies to hold those responsible to account.” In the Senate, though, two members of the Foreign Relations Committee have no doubts. “There is no question that what Russia is doing in Ukraine is a genocide,” Sen. Jim Risch (Idaho), the top Republican on the panel, told HuffPost. “If you could walk the streets of Irpin and Hostomel, like I did, and listen to the stories that those people told about what the Russian soldiers did ― this is a genocide. The world needs to recognize it as such,” he said. “I think they’ve passed the international definition of genocide,” said Sen. Ben Cardin (D-Md.). “I thought they passed that a while ago. Transporting people, in some cases unaccompanied children, into Russia with clear intentions of removing them from their culture, that’s genocide.” Under the Genocide Convention, countries are required to take measures to prevent and punish genocide. The U.S., which has signed on to the treaty, has provided assistance to Ukraine to investigate and document “war crimes and other atrocities” in addition to imposing punishing economic sanctions and providing weapons and training to Ukraine. “The ‘prevent’ comes first. The entire purpose of the convention, its primary purpose, is to prevent genocide from happening.” Risch said the United States is already doing a lot, but not enough. “I personally would do more,” he said, declining to elaborate. Risch said he thinks the wariness to call what is happening genocide may stem from unfamiliarity with the definition. “The Holocaust is the Holocaust. This, like many genocides, has its own marks and should be judged in that regard,” he said. Ibrahim, from New Lines, said the focus should not be on whether the definition has been met because the mere risk of genocide, which has been documented in their report, was enough to trigger the genocide treaty’s obligations. The question, he said, was whether the 150-plus countries that signed the Genocide Convention would live up to their obligations. “This is important because what’s happened too often in our lifetimes is whether something is a genocide or not becomes an academic exercise after the fact,” he said. “The ‘prevent’ comes first. The entire purpose of the convention, its primary purpose, is to prevent genocide from happening.”",45,,,,11
2022-06-30,HuffPost,https://www.huffpost.com/entry/shopping-mall-attack-ukraine-russia-lies_n_62bd613fe4b014f50a2e1062,Evidence Shows Russia Lied About Deadly Ukraine Shopping Mall Attack,"Firsthand witnesses and closed circuit television footage have discredited Russia’s several — and often conflicting — claims about a deadly missile strike on a shopping mall in Kremenchuk, Ukraine. Ukrainian President Volodymyr Zelenskyy said Russia attacked the mall on Monday while over 1,000 people were inside. The attack killed at least 18 people, while 36 remain missing, according to Human Rights Watch. Russia’s defense ministry denied the attack was meant to target civilians, according to Reuters. “In Kremenchuk, Russian forces struck a weapons depot storing arms received from the United States and Europe with high-precision air-based weapons,” the ministry said in a daily statement Tuesday on the state of the war. The Russians also disputed Zelenskyy’s statement that the mall was crowded. “The detonation of stored ammunition for Western weapons caused a fire in a non-functioning shopping centre located next to the depot,” the statement continues. CCTV footage, cited by The Guardian, showed there were two missiles fired in the area within minutes of each other. The first hit the shopping mall, while the second struck a nearby factory, the one Russia claims was used to store weapons. Human Rights Watch said it conducted two in-site investigations at the factory in question and did not uncover any evidence to support Russia’s claims that the facility was used to store military equipment provided by the West. “It’s a place for making road equipment, machines for road construction,” Svitlana Rybalko, from the regional State Emergency Service, told the BBC. “There’s also a greenhouse nearby where workers grow cucumbers.” The BBC reported that the factory is about 300 meters away from the shopping center, separated by a wall and rail tracks. This shows that Russia’s claims that “secondary explosions” are responsible for a fire inside the mall are “unlikely,” the BBC wrote. Witnesses have also cast doubt on Russia’s allegation that the mall was not in operation. The BBC labeled the claim as “false” after talking to several staff and shoppers, including a woman living in a village nearby who regularly visits the area for shopping and said the mall has been “constantly open.” The woman showed the BBC video shot inside the mall two days before the attack, with shoppers walking around and stores open for business. Human Rights Watch said it spoke to 15 people, including local officials and some of those injured in the attack, who confirmed the center was open to the public. Dmitry Polyanskiy, Russia’s deputy ambassador to the United Nations, on Monday presented another allegation ― which contradicts the defense ministry’s statement on Tuesday ― claiming the attack was staged. “Looks like we are dealing with a new #Bucha-style #Ukrainian provocation,” Polyanskiy tweeted. Russia previously claimed that photos and videos of atrocities committed by its soldiers in Bucha, Ukraine, were fake. Looks like we are dealing with a new #Bucha-style #Ukrainian provocation. One should wait for what our Ministry of Defence will say, but there are too many striking discrepancies already. Exactly what Kiev regime needs to keep focus of attention on #Ukraine before #NATOSummit In another Twitter message, reported by the BBC, Polyanskiy said his tweet did not contradict Russia’s Ministry of Defense. Polanskiy added reports of the attack “will be used by Ukraine to attract as much attention as possible through promoting [a] false version of what happened.” Reports of the incident have garnered the attention of world leaders. French President Emmanuel Macron on Tuesday called the attack “a new war crime.” “Russia cannot and should not win,” Macron said at the end of the G-7 summit in Germany, according to The Associated Press. Zelenskyy also addressed the U.N. Security Council on Tuesday saying Russia is a “terrorist state,” committing “daily terrorist acts.” “We need to act urgently to do everything to make Russia stop the killing spree,” Zelenskyy said.",47,,,,23
2022-05-19,HuffPost,https://www.huffpost.com/entry/russia-firing-senior-commanders-ukraine-war_n_628655a0e4b0556e4a0aebc8,Russia Is Firing Its Senior Commanders. What Does That Mean For Ukraine War?,"The Kremlin has fired several senior officials managing its invasion of Ukraine, yet another sign that the Russian war effort is significantly faltering. In its latest Twitter update, the British Ministry of Defence (MoD) claimed that Moscow’s centralized command is only going to come under more pressure as it tries to re-establish control behind the scenes. The MoD explained that Russia “has fired senior commanders who are considered to have performed poorly during the opening stages of its invasion of Ukraine.” Lieutenant General Serhiy Kisel, who commanded the elite 1st Guards Tank Army, has been suspended after he was unable to capture Ukraine’s second-largest city Kharkiv. Ukrainian resistance “appear to have won the battle of Kharkiv” according to the U.S. think tank Institute for the Study of War, after Russian units were unable to hold their lines around the city. Russia has been bombarding the city since the war began three months ago, but the troops were not able to even encircle Kharkiv and were subsequently expelled. The commander behind Russia’s Black Sea Fleet, Vice Admiral Igor Osipov, is also likely to have been suspended after the cruiser Moskva sank in April. It was Russia’s flagship Black Sea missile cruiser which was struck down by two Ukrainian missiles, a huge symbolic and military blow to the Kremlin at a time when it was already losing morale. The U.K. officials also think that Russian chief of the General Staff Valeriy Gerasimov is still in post, “but it is unclear whether he retains the confidence of President Putin.” Without a clear command system, the Russian forces – already said to be disorganized and lacking supplies – are unlikely to secure any victories in Ukraine any time soon. As the MoD summarized: “A culture of cover-ups and scape-goating is probably prevalent within the Russian military and security system. “Many officials involved in the invasion of Ukraine will likely be increasingly distracted by efforts to avoid personal culpability for Russia’s operational set-backs. “This will likely place further strain on Russia’s centralized model of command and control, as officers increasingly seek to defer key decisions to their superiors. “It will be difficult for Russia to regain the initiative under these conditions.” Latest Defence Intelligence update on the situation in Ukraine - 19 May 2022 Find out more about the UK government's response: #StandWithUkraine 🇺🇦  There seems to be a major problem with top military officials within the Russian forces right now. Ukraine’s ministry of defense claimed earlier this month that U.S. intelligence has helped it to find and kill 12 Russian generals since the war began. Neither Russia nor the U.S. have confirmed this number, although the U.S. National Security Council later claimed that it was providing “battlefield intelligence” to Ukraine, and did not have intent “to kill Russian generals.” While the details of this claim remain unclear, this is just one of many signs that central control is falling apart in Russia. President Vladimir Putin is also said to have taken over the day-to-day management of the war, despite such tasks typically falling to more junior commanders. “We think Putin and Gerasimov are involved in tactical decision-making at a level we would normally expect to be taken by a colonel or a brigadier,” a Western military source said, according to the Guardian. Yohann Michel, defence and military research analyst at the International Institute for Strategic Studies, told the i newspaper: “If you’re trying to be both general and captain, you are usually doing neither and you are creating uncertainty at every level of the chain of command.” He added: “The Russian armed forces don’t need to have this level of micro-management from the top who have problems of their own.” Russia’s war effort is going so badly even a retired colonel broke rank on state TV and admitted: “Sometimes information is being spread about some sort of psychological breakdown in Ukraine’s Armed Forces, suggesting some sort of a breakthrough is imminent. “None of this has a basis in reality.”",7,,,,19
2022-05-05,HuffPost,https://www.huffpost.com/entry/us-intelligence-russian-generals-ukraine_n_62735ae7e4b046ad0d77a3a3,U.S. Intelligence Has Reportedly Helped Ukraine Kill Russian Generals,"The United States reportedly shared intelligence that has helped Ukraine target and kill Russian generals during the Kremlin’s ongoing invasion of the country. According to The New York Times, senior American officials said the U.S. had provided real-time battlefield intel to the Ukrainians, including the location of Russia’s mobile military headquarters. Ukraine then used that knowledge, as well as its own intelligence, to conduct artillery strikes and attacks to kill Russian officers. To date, Ukraine said it has killed around 12 Russian generals during the war. The Times added that not all of the airstrikes have relied on American intelligence; Ukraine has its own intelligence-collecting methods. The paper’s sources did not reveal how the U.S. obtained its intelligence and would not specify how many generals may have been killed due to the sharing of that information. The effort is part of a classified push to help Ukraine defend itself, and the Biden administration has been working to keep the full scope of its support secret, the Times reported. The White House fears any open effort to share intelligence could provoke Russian President Vladimir Putin, who has warned the U.S. to stop arming Ukraine, saying there could be “unpredictable consequences” for doing so. Western nations have continued to penalize Russia for the invasion. Earlier this week, the European Union’s top official called on the bloc to ban Russian oil imports and unveiled new sanctions against the country’s biggest bank and media broadcasters. Military analysts fear Putin may use Russia’s upcoming Victory Day holiday — on May 9 — to intensify attacks and mobilize the Russian people for a broader war.",20,,,,3
2022-04-28,HuffPost,https://www.huffpost.com/entry/zelenskyy-russian-soldiers-charged-bucha_n_626b110de4b0cca67553dbcb,Zelenskyy Says First Russian Soldiers Charged In Bucha Crimes: ‘We Will Find Everyone’,"Ukrainian President Volodymyr Zelenskyy said on Thursday that almost a dozen Russian soldiers have been charged for crimes committed against civilians in the town of Bucha, a horror that was documented in photos and videos taken after the Russian military withdrew. In his latest address, Zelenskyy said the first 10 soldiers have “received the status of suspects” for engaging in what a growing number of leaders are calling war crimes in the Kyiv suburb. The soldiers are from the 64th Motorized Rifle Brigade of the Russian Ground Forces, according to the president. “Their surnames are known. It is established what they did. We know all the details about them and their actions,” Zelenskyy said. “And we will find everyone – just as we will find all the other Russian thugs who killed and tortured Ukrainians, who tormented our people, who destroyed houses and civilian infrastructure in Ukraine. “None of these bastards will avoid responsibility,” he continued. “However, some of them may not survive until trial and fair punishment. But for one reason only – this Russian brigade was relocated to the Kharkiv region. There, they will get retribution from our military.” Zelensky on Biden’s request for $33 billion for Ukraine: “This is a very important step by the United States. And I am grateful to the American people and personally to President Biden for it. I hope that the Congress will quickly support this request for help to our state.”  Russian forces withdrew from Bucha after at least a month of occupation, leaving behind massive bloodshed. Civilians’ bodies were left on the streets, some charred and some bound by hands and legs. Many of the victims were shot execution-style, particularly men. Pets were also killed and left on the street. Ukraine experienced similar horrors in other towns, like Mariupol, Kharkiv, Chernihiv and Irpin. But the documentation of the terror and death in Bucha shocked the world into coming to terms with the level of violence Russia has perpetrated against civilians. Key players in the United Nations Security Council came together on Wednesday to encourage investigations into the atrocities. The informal meeting included the International Criminal Court’s chief prosecutor, the chair of the United Nations Human Rights Council’s Commission of Inquiry, Ukraine’s top prosecutor, and human rights lawyer Amal Clooney. Ukrainian Prosecutor-General Iryna Venediktova has opened over 8,000 investigations into alleged violations of the laws and customs of war, saying “Russia’s actions amount to crimes against humanity and war crimes” and that the pattern “resembles the crime of genocide.” France’s deputy U.N. ambassador and a co-sponsor of the meeting, Nathalie Broadhurst, said the images of the atrocities in Bucha and other places in Ukraine after Russian forces withdrew “are unbearable” and may amount to war crimes. The U.S. has already concluded that Russia committed war crimes in Ukraine. Russia has denied responsibility for any atrocities, repeatedly claiming that its soldiers are simply rooting out neo-Nazis in the smaller country. “The investigation into the crimes committed by the Russian military against our people is underway,” Zelenskyy said. “Ukraine’s position is absolutely clear – every Russian criminal must be and will be brought to justice. Whoever they are and wherever they hide, we will find them all and make them bear responsibility.”",45,,,,5
