Date,Source,URL,Title,Text,Topic,Novelty,Transience,Resonance,Topic2
2022-11-17,Mirror,https://www.mirror.co.uk/news/world-news/inside-russian-torture-dungeon-liberated-28516170,Inside Russian 'torture dungeon' in liberated Kherson where Ukrainians were held,"Ukraine has revealed the ghastly reality of inside a Russian ""torture dungeon"" found in liberated Kherson. The gruesome discovery was made during a patrol of the city by the SBU secret service and national police officers, who were believed to have been tipped off by locals. In brutal conditions, the invaders interrogated “local patriots” who “refused to cooperate with the enemy”, said the Ukrainian government. The authorities said: “Kherson residents were interrogated and brutally tortured. During the inspection, torture law enforcement officers found objects that directly indicate signs of torture.” Among the sinister finds were gas masks and bottles of liquid which are now being analysed. Wall markings from inmates were used to count the days they were held for. They claim to have found 11 illegal prisons and four torture chambers in Kherson after it was liberated. More than 700 people have been reported missing. Interior minister Denys Monastyrsky said the investigation into crimes there had only just begun, ""so many more dungeons and burial places will be uncovered"". Writing from a detainee on the wall of the hell chamber says: ""Pray to God for us. God, give us strength. God, save and protect."" There was also evidence that the Russians sought to clear away evidence before they fled Kherson. “A series of investigative and operational measures are being carried out to document all the crimes of the occupiers, identify the culprits and bring them to justice,” said the Ukrainian government. The Ukrainian minister of internal affairs, Denys Monastyrskyi, also said in a TV interview broadcast on Wednesday that the bodies of 63 people who had been tortured were found in the Kherson region. He said exhumations were ongoing. Oleksandr Kuzmin said to the Washington Post he was held in the detention centre for a day, during which people he suspected to be FSB agents smashed his leg with a hammer. He said that in a room below his cell, he could hear people screaming in pain and a young man he shared a cell with had electric shocks by the Russians on his nipples and penis. The Washington Post revealed that prisoners were forced to say, “Hail Putin” or “Hail Russia” to receive meals. Russia this month staged a humiliating retreat by Vladimir Putin ’s forces from the provincial capital in the face of a powerful Ukrainian counteroffensive. A feature of Russian retreats has been the discovery of torture chambers used by the occupiers. Read more",45,0.0,0.0,0.0,9
2022-11-17,Mirror,https://www.mirror.co.uk/news/world-news/dnipro-missile-attack-caught-camera-28514253,Missile attack caught on camera as commuters in cars hit by huge explosion,"At least four people have been killed and more than a dozen others wounded in drone and missile strikes around Ukraine with one horror video showing the moment of a blast. Air raid sirens sounded all across Ukraine early Thursday as the Kremlin unleashed its sixth mass attack since early October. Ukraine President Volodymyr Zelensky posted a terrifying video that he said was one of the blasts in Dnipro. The video from a vehicle dashcam shows cars heading down a road on Thursday morning before a fiery blast engulfs a rainy road and a huge fireball explodes. The attack wounded at least 14 people, among them a teenage girl. Maria Avdeeva, Research Director at the European Expert Association in Ukraine, wrote on Twitter : ""The moment of explosion in Dnipro. People commuting to work in the morning. Currently, 14 are injured, including a 15-year-old girl."" In Kyiv, the city’s military administration said air defences shot down at least two cruise missiles and five Iranian-made exploding drones, but some missiles and drones still got through in Dnipro and Odesa. According to Prime Minister Denys Shmyhal, Russian troops hit the building of the Pivdennyi Machine-Building Plant, Ukraine’s largest aerospace manufacturer. Dnipro mayor Borys Filatov said a city hall employee was caught up in this morning’s attack while out helping elderly women. He said the employee is being operated on and shrapnel was stuck in her coat. ""During today’s rocket (attack), she and her colleague were just doing their job. Helping infirm elderly women"", he said. Valentyn Reznichenko, governor of the eastern Dnipropetrovsk region, said a large fire erupted in Dnipro after the strikes on the city hit an industrial target. A Russian strike that hit a residential building also killed at least four people overnight in Vilnia in the Zaporizhzhia region. Zelensky said: ""This is another confirmation from Dnipro of how terrorists want peace. The peaceful city and people’s wish to live their accustomed lives. Going to work, to their affairs. A rocket attack!” State energy company Naftogaz said that the Russian missile strikes on Thursday damaged or destroyed some of Ukraine’s gas production facilities. “Currently, we know of several objects that have been destroyed. Others have suffered damage of varying degrees,” Naftogaz chief executive Oleksiy Chernyshov said. The strikes came on the same morning that the Black Sea grain deal was extended by 120 days with the efforts of Turkey and the United Nations. “Grain Deal will be prolonged for 120 days. Ukraine together with [UN Secretary-General] Antonio Guterres and [Turkish President] Recep Tayyip Erdogan made a key decision in the global fight against the food crisis. Waiting for the official announcement from partners – Türkiye and UN,” Zelensky said on Twitter. Read more",47,0.0,0.0,0.0,21
2022-11-16,Mirror,https://www.mirror.co.uk/news/world-news/poland-missile-attack-nato-jolted-28505698,NATO 'jolted into near-war catastrophe' after 2 killed in Poland missile strike,"This was the knife-edge escalation that NATO leaders have been bracing for over the past nine months of brutal warfare in Ukraine. Thousands of missiles have been fired at Ukraine, most of them aimed at and many of them hitting, civilian targets. Soon after a missile smashed into Przewodow, just inside Poland’s border, a flurry of calls were made between NATO’s 30 member states. Last night (15 November) a missile struck NATO -member Poland, killing two people, just outside of the rural Polish village - about four miles (6.4 kilometers) west from the Ukrainian border. While it appears to have been an ""unfortunate accident"", it currently is not known who fired the missile, or precisely where it was fired from. Following this, world leaders gathering at the G20 summit in Bali are attempting to diffuse a potential escalation in the months-long Ukraine war. Meanwhile, NATO ambassadors have also met in Brussels to assess how to react to Russia's war spilling over into a member state, with Secretary General Jens Stoltenberg telling reporters: ""Let me be clear, this is not Ukraine's fault. ""Russia bears ultimate responsibility as it continues its illegal war against Ukraine."" Poland immediately called for NATO article 4 escalation - a demand for NATO to meet and discuss how to react - but one step from article 5 and possible war. Unnamed US intelligence officials and others behind the scenes ignited the escalation, stating that it was a Russian missile, leaving the world on a knife-edge, fearing all-out war. Behind the scenes NATO analysts were examining spy plane records of missile trajectories and hoovered up communication between Russian commanders. They will have quickly established whether Russia deliberately targeted Poland, whether it was an Russian overshoot or if Ukraine’s air defences had overshot. As the intelligence analysts worked away Poland’s military mobilised to the border and was put on high-alert. But US President Joe Biden ’s swift casting of doubt on whether it was a deliberate Russian attack calmed the mood. In the cold light of day even article 4 now looks unlikely. The G20 summit means western ambassadors were able unofficially to meet and talk about early indications of what really happened, avoiding the need for article 4. It now appears one or two Russian-made S-300 air-defence missiles landed inside Poland, hitting a grain silo and killing two victims. These are ground-to-air weapons, similarly used by Ukraine, primarily used to intercept incoming missiles. But Russia, desperately short of missiles, has adapted S-300’s to be fired at ground targets and they are notoriously inaccurate. These are thought to have a range of little more than 300 miles so could possibly have been fired from a warplane launched from Russian ally Belarus. They can be adapted to fire further, with lighter warheads and boosters to lengthen their journey. The target would likely be Lviv, in western Ukraine, a hub for incoming supplies from Poland, including weapons, or an infrastructure site nearby. In one day alone a record 100 missiles were fired into Ukraine on Tuesday so Kyiv’s air-defences were working at breakneck speed to shoot them down. Even if the missile strike in Poland was an S-300 Ukrainian air-defence missile, as NATO now believed is likely, these weapons would not be fired without provocation from Russia. A Russian missile was very likely fired close to Ukraine’s border with Poland, triggering Ukraine’s air defences. So without Russian missiles piling into Ukraine at such a deadly rate two people in Poland would not have been killed and the west, including the UK, would not have been jolted into a near-war catastrophe. Even though the blast appears not to be deliberate and may indeed have been a stray Ukraine air defence missile it is still a Russian provocation testing NATO resolve.",49,0.0,0.0,0.0,7
2022-11-16,Mirror,https://www.mirror.co.uk/news/world-news/breaking-poland-says-deadly-missile-28505096,Poland says missile strike was 'unfortunate accident' but Russia still to blame,"Poland's president has said a missile blast that killed two people near its border with Ukraine appears to have been an ""unfortunate accident"" and not an ""intentional attack"". But ultimately responsibility lies with Russia, which launched a barrage of missile attacks on Ukraine on Tuesday, Andrzej Duda said. It was highly probable that the rocket, which was Russian-made, was used by the Ukrainian air defence. He continued: ""From the information that we and our allies have, it was an S-300 rocket made in the Soviet Union, an old rocket and there is no evidence that it was launched by the Russian side. It is highly probable that it was fired by the Ukrainian anti-aircraft defence."" The missile landed outside the rural Polish village of Przewodow, about four miles west of the Ukrainian border on Tuesday afternoon, killing two people. It came just hours after Russia launched a huge barrage of strikes on cities across Ukraine, plunging around 10 million people into darkness without power. Ukraine’s military said 77 of the more than 90 missiles fired were brought down, along with 11 drones. It marked the first time a NATO country has been directly hit during the almost nine-month conflict. Duda said “it was not an attack on Poland,” but added that Tuesday’s incident was a missile used for anti-missile defence, meaning it was used by Ukraine’s defence forces. Jens Stoltenberg, Secretary General of NATO, said the Polish missile incident demonstrates that the war in Ukraine “which is President Vladimir Putin’s responsibility – continues to create dangerous situations”. He continued: ""[The missile was] likely caused by Ukraine but not Ukraine’s fault. Let me be clear, this is not Ukraine’s fault. Russia bears ultimate responsibility as it continues its illegal war against Ukraine."" “Ukraine’s defence was launching their missiles in various directions and it is highly probable that one of these missiles, unfortunately, fell on Polish territory"", he said. If Russia had deliberately targeted Poland, it would risk drawing NATO into the conflict. Russia’s Defense Ministry denied being behind “any strikes on targets near the Ukrainian-Polish border” and said in a statement that photos of purported damage “have nothing to do” with Russian weapons. As a former Soviet-bloc country, Ukraine holds stocks of Soviet and Russian-made weaponry, including air-defence missiles. The Kremlin has accused some western countries, especially Poland, of reacting “hysterically” to the missile strike, but said in a rare show of praise that President Biden had shown restraint. Margarita Simonyan, editor-in-chief of state news channel Russia Today, baselessly suggested that the UK could have played a role. She said: “This is either a Ukrainian mistake or a Polish provocation. Or British."" Germany said on Wednesday it could send its own warplanes to support patrols over Poland. Read more",49,0.0,0.0,0.0,7
2022-11-16,Mirror,https://www.mirror.co.uk/news/world-news/vladimir-putin-deploying-missiles-close-28507025,Putin deploying missiles close to NATO borders is act of 'a fool or a madman',"Vladimir Putin's decision to launch missiles close to Ukraine's borders with NATO member states is a clear indication that the despot is either stupid or deranged. NATO leaders have spent the past two days on a knife-edge after a missile smashed into a farm in Przewodow, just inside Poland’s border, killing two elderly men last night. The missile was one of a flurry of an estimated 90 that bombarded Ukraine's energy infrastructure the same day. The nefarious targeting of Ukraine's electricity and water supplies has been branded a war crime and an attempt to commit genocide. But Putin's decisions may be the only choices he has left after a series of humiliating defeats on the battlefield. Professor John R Bryson, who teaches Enterprise and Economic Geography at Birmingham Business School, believes the warlord's actions are a clear indicator of his military ""failure"". He tells The Mirror: “Perhaps, targeting Ukraine ’s civilian infrastructure is the only option left for Putin in his failing Ukrainian war… this targeting is a crime against humanity, a climate crime and a war crime. ""Now is the time for all responsible nations to stand up and support Ukraine and to work to force Vladimir Putin to accept that he can never win his Ukrainian special operation, and in fact he has already lost.” He added that effective warfare involves strategically using scarce resources to defeat the enemy. In the case of the Russo-Ukrainian war, Putin has been ""extremely ineffective in finding and hitting critical Ukrainian military assets"". This has left him no other option than to target civilian infrastructure instead. He said: ""Now is the time for all responsible nations to stand up and support Ukraine and to work to force Vladimir Putin to accept that he can never win his Ukrainian special operation, and in fact he has already lost."" After much speculation and suspicions that the blast was caused by Russia, NATO's Secretary General revealed today it was most likely caused by a Ukrainian air-defence missile. Jens Stoltenberg said: ""Our preliminary analysis suggests the incident was likely caused by a Ukrainian air-defence missile fire to defend Ukrainian territory against Russian cruise missile attacks. ""But let me be clear this was not Ukraine's fault. Russia bears ultimate responsibility as it continues its illegal war against Ukraine."" With the blame still resting squarely on Putin's head, it's time for all responsible countries, including those who have steered clear of outright condemning the tyrant, to show a united front by beefing up Kyiv's war chest. Professor Bryson said: ""For the US and all NATO members now is the time to provide more funding and military hardware to Ukraine and to project a united front. ""The extent of this funding and military hardware should be such that Russia appreciates that there is no possibility that they can win the war with Ukraine. ""China and India are beginning to distance themselves from Russia, but it is time for both these countries to tell Putin that enough is enough. ""All responsible nations must declare that Putin’s illegal invasion of Ukraine is a crime against humanity and a climate crime and must work against Putin’s attempt to weaponize energy and food."" Read more",45,0.0,0.0,0.0,13
2022-11-15,Mirror,https://www.mirror.co.uk/news/politics/fears-war-ukraine-grind-through-28495391,Fears war in Ukraine will 'grind' on through next year despite weapons shortages,"Russia’s brutal war in Ukraine will “grind” on throughout next year even though both sides are rapidly running out of ammunition and weapons, it is feared. The two armies are now in a race against time as winter approaches to replenish ammo and weapons stocks amid fears Winter freezes will cause more battlefield casualties. Western officials also believe Russian President Vladimir Putin ’s brutal mercenary unit The Wagner Group is fast becoming part of Moscow’s regular military. Out of around 100,00 Russian troops currently fighting in Ukraine several thousand Wagner fighters - many of them ex-jailbirds- are on the frontline. And the west believes Wagner’s brutal, filmed “sledgehammer execution” of 55 year-old deserter Yevgeny Nuzhin was a warning to other recruits. Nuzhin changed sides as a defector and was then abducted and hammered to death by fighters working for Wagner, headed by Putin’s “chef” Yevgeny Prigozhin. The Wagner leader recruited many of his fighters from Russia ’s jails in return for clemency, despite their crimes, such as murder, kidnapping and robbery. It is believed Russia has just 120 Iskander missiles left and a mere month’s supply remaining of artillery shells available for the battlefield. Russia is also increasingly relying upon Iranian made, explosives -tipped Kamikaze drones, most of which are being shot down by Ukrainian defence systems. A Western official said: “Munitions supply is a big, limiting factor for both sides and that’s why we’ve seen the Russians going to great lengths to replenish. “The Ukrainians are doing the same thing. “We are still expecting to grind and it to be largely static, expecting neither side to win or lose and that extends all the way through 2023. “If people are expecting the collapse of forces on either side we can’t see anything which would indicate that from now through to the end of the year. “Neither side is in such a condition for their forces to collapse.” Officials said the horrific sledgehammer execution is likely to be probed as part of the near 40,000 alleged war crimes committed by Russian forces and their proxies. One said: “On the execution video - the use of a hammer as a tool is something which we’ve seen from Wagner before in the Syria conflict. “It’s absolutely messaging, aimed at the various people who have been conscripted and from prisons and from elsewhere - and the choices they will make. “It’s a brutalisation of war and I expect it’s an extra-judicial killing expected to feature in further investigations in due course.” The official added that the “Wagner Group now appears to be becoming more a part of Russian forces.” Even though fighting may slow down during the Winter freeze it may cause more deaths One source said temperatures are plummeting form 13 degrees to freezing and added that this will cut short the time needed to get casualties to aid stations, called the “Golden Hour.” The source said: “That impacts the golden hour - so we can expect more, more fatalities as a consequence of injuries on the battlefield.”",7,0.0,0.0,0.0,13
2022-11-15,Mirror,https://www.mirror.co.uk/news/world-news/breaking-kyiv-hit-missile-strikes-28496959,Kyiv hit by missile strikes as residential buildings seen burning,"Ukrainian officials have accused Russia of launching a barrage of strikes on civilian targets across the country, including in the capital Kyiv. Mayor Vladimir Klitschko reported two residential buildings were hit and Kyrylo Tymoshenko of the President's Office has shared a video of the aftermath of the strike with buildings engulfed in flames. The city of Kryvyi Rih, Poltava and Cherkasy regions have been hit, according to their respective city and regional heads. Hitting residential buildings constitutes a war crime and the barrage from Moscow’s depleting missile stock happened within hours of the Ukrainian President celebrating Kherson as akin to D-Day starting the end of World War II. The explosions sent plumes of smoke rising above the capital and sirens were heard across the city as medics raced to Kyiv’s Pechersk district, a wealthy area that is home to many embassies. At least four missiles were shot down over the capital, city officials said and the air attacks also smashed into targets in Lviv in the far west and Kharkiv — as the entire country was put on air-raid alert and braced for rising civilian casualties. On Twitter, it was claimed that Russia launched more than 100 missiles - targeting Ukraine's energy infrastructure. At least one person has been killed after one missile hit a Kyiv building, the reports say. Electricity is out in half of Kyiv, 80 per cent of Lviv, as well as parts of Odesa, Mykolaiv, Dnipro. The US ambassador to Ukraine, Bridget A Brink has described the series of attacks launched today by Russia on Ukraine as “another round of cruel attacks.” Several missile strikes also hit Kryvyi Rih, Ukrainian President Volodymyr Zelenskyy's native city and emergency services battled to rescue survivors. Both sides are now in a race against time as winter approaches to replenish ammo and weapons stocks amid fears Winter freezes will cause more battlefield casualties. It is believed Russia has just 120 Iskander missiles left and a mere month’s supply remaining of artillery shells available for the battlefield. Andriy Yermak, an adviser to President Zelensky wrote on Twitter: “Does anyone seriously think that the Kremlin really wants peace? It wants obedience. But at the end of the day, terrorists always lose.” A Western official said: “Munitions supply is a big, limiting factor for both sides and that’s why we’ve seen the Russians going to great lengths to replenish. “The Ukrainians are doing the same thing. We are still expecting to grind and it to be largely static, expecting neither side to win or lose and that extends all the way through 2023. “If people are expecting the collapse of forces on either side we can’t see anything which would indicate that from now through to the end of the year. Neither side is in such a condition for their forces to collapse.” Read more",47,3.288211787934087,2.854993174438206,0.43321861349588087,13
2022-11-15,Mirror,https://www.mirror.co.uk/news/world-news/breaking-russian-missiles-land-nato-27740368,Russian missiles land in NATO-member Poland killing 2 causing 'crisis situation',"Two Russian missiles have landed in NATO state Poland, killing two people and prompting a furious backlash from Ukraine's Volodymyr Zelensky and western heads of state as Russia denied the reports. The rockets fell on a farm in Przewodow, a village in eastern Poland, close to the Ukraine border where they exploded around 3:40pm local time yesterday afternoon. It is not yet known if the strike was intentional or not. The Polish Foreign Ministry said a Russian produced rocket had hit a grain drying facility in the farm, and confirmed they had since summoned the Russian ambassador. Three US officials speaking anonymously on Wednesday morning said that preliminary assessments suggested a missile could have been fired by Ukrainian forces at an incoming Russian projectile, resulting in the explosion. The incident could have serious ramifications because of Poland's status as a NATO country, meaning it could opt to invoke NATO's Article 5 - which states an attack on one member state is treated as an attack on them all. But reports suggest that the 30 member states will meet tomorrow morning as Article 4 may be activated instead, allowing NATO members to bring issues of concern to the bloc for discussion. A press secretary for the Pentagon warned: ""When it comes to our security commitments and Article 5, we have been crystal clear: we will defend every inch of NATO territory."" US President Joe Biden, who was woken up by his advisors to inform him of the attack, has called Polish President Andrzej Duda to express his ""deep condolences"" for the loss of life. He later held an emergency meeting of G7 world leaders in Bali, and afterwards told reporters that ""preliminary information"" suggested the missile may not have been fired from Russia itself. ""I don't want to say that until we completely investigate, but it's unlikely in the minds of the trajectory that it was fired from Russia, but we'll see"", he added. Russia dismissed claims of an attack on Polish soil as a 'deliberate provocation' - but Ukraine said that it had warned of such an attack for a long time. At 8pm GMT, government ministers in Poland gathered to discuss the incident and raised the readiness of parts of the country's army as they continued to investigate throughout the night. Poland's Prime Minister, Mateusz Morawiecki, convened the Committee of the Council of Ministers for National Security and Defence Affairs ""as a matter of urgency"" this evening, government spokesman Piotr Müller confirmed. Müller did not immediately confirm the reports of the US intelligence official and said the meeting was being held due to a 'crisis situation'. He confirmed two people had been killed, and said Poland was looking into whether it could activate NATO Article 4 - an article that lets members bring any issue of concern to the table for discussion. This would trigger a meeting of all NATO members. Reports since have suggested that Poland will trigger Article 4 and bring together NATO's member states for a meeting over the incident this morning. Poland President Andrzej Duda also announced a further meeting of the National Security Council, which will be held at midday on Wednesday. The two people who were killed were said to have died at the scene following the impact of the rockets, thought to have happened some time yesterday afternoon. Initially, local fire services confirmed an explosion in the area but it later emerged that rockets had fallen there. Both Russian missiles, according to Mirror sources, were S-300 weapons and Polish fighter jets were scrambled from Tomaszow-Lubelski airfield. Images from the impact site of the rockets show burnt and twisted farm equipment, destroyed by the rockets and a huge crater in the ground. Another image shows a plume of smoke rising into the air after the attack. Further pictures show had large bits of metal debris thrown across the area. Reports suggest local residents heard two explosions when the rockets fell, and the area remains cordoned off as Polish authorities investigate. NATO's Article 5 focuses on the principle of collective defence, and that any of its members is duty-bound to come to the aid of any other under attack. The bloc itself says this focus on 'collective defence' is at the 'very heart of NATO's founding treaty'. Simply put, an attack on one NATO member is an attack on all NATO members. So a deliberate attack on Poland is an attack on the UK and US according to the treaty. Article 5 was last used in the aftermath of the 9/11 attack. Click here to read more about NATO's Article 5. Jens Stoltenberg, the General Secretary of NATO, said it was 'closely monitoring' the incident. He tweeted: ""Spoke with President Duda about the explosion in Poland. I offered my condolences for the loss of life. NATO is monitoring the situation and Allies are closely consulting. Important that all facts are established."" The British Foreign Office were also 'urgently seeking clarity' like many countries who are scrambling to confirm all the facts before launching any action against Russia that could lead to the escalation of the war. Prime Minister Rishi Sunak said: ""I have just spoken with the Foreign Secretary and Defence Secretary. We are urgently looking into reports of a missile strike in Poland and will support our allies as they establish what has happened. ""We are also coordinating with our international partners, including NATO."" Politico reported that US officials believed the explosion wasn't caused by the remnants of a missile shot down by Ukraine armed forces, but rather a deliberate strike or an errant missile. Following the deaths, Ukraine's Volodymyr Zelensky warned Russian terror would only continue to spread. In a video message this evening, he said: ""Today, something that we have been warning for a long time has also happened. Terror is not limited to our state borders. Russian missiles hit Poland ... hit missiles on NATO territory. ""It's a matter of time before Russian terror goes further. The longer Russia feels impunity, the more threats there will be for anyone who is in range of Russian missiles."" One of Zelensky's advisors said the attack was a 'disguised mistake' and not an accident but a 'deliberately planned hello'. Lord Richard Dannatt, former head of the British Army, told Sky News: ""Modern technology is pretty accurate, so it's quite difficult to explain away that this might have been an accident. ""If it wasn't an accident then it was a test of the West's response, and that's something that's got to be thought through very carefully."" Latvia's Minister of Defence, Artis Pabriks expressed their condolences to Poland and blasted the Russian regime as 'criminal'. Scenes from the on the ground this evening show a heavy presence of emergency services at the rural town as Poland continues its investigation. The Estonian Foreign Ministry: ""Latest news from Poland is most concerning. We are consulting closely with Poland and other Allies. Estonia is ready to defend every inch of NATO territory. We’re in full solidarity with our close ally Poland."" The Russian Defence Ministry denied reports of the attack and claimed it had nothing to do with them. It said: ""Statements by the Polish media and officials about the alleged fall of 'Russian' missiles in the area of the settlement of Przewodow is a deliberate provocation in order to escalate the situation. ""No strikes were made against targets near the Ukrainian-Polish state border by Russian means of destruction."" Neighbouring Moldova was also affected by more Russian strikes today after their bombardment of Ukraine knocked out power to much of the nation. The Pentagon said it is looking into the reports around the explosion but could not currently corroborate them. Pentagon press secretary Brigadier General Pat Ryder reportedly said: ""When it comes to our security commitments and Article 5, we have been crystal clear: we will defend every inch of NATO territory."" Lithuania's president echoed this message as well and Adrienne Watson, a spokesperson for the National Security Council, said on Twitter that the agency had seen reports out of Poland and was working with the Polish government to gather more information. Poland plays a vital role in NATO supplies reaching Ukraine and Russia has warned in the past of its actions supporting Kyiv. Russian ally Hungary have also convened a meeting of his country's defence council after the explosion in the eastern Polish village led to crude shipments on the Druzhba pipeline being suspended. Germany, long criticised for not taking a hard enough line on Russia, spoke out on the attack as well. The country's foreign minister Annalena Baerbock said: ""My thoughts are with Poland, our close ally and neighbor. We are monitoring the situation closely and are in contact with our Polish friends and NATO allies."" It is not known if the missiles were a purposeful strike or an unintended consequence of its missile strikes on Ukraine which included strikes on Lviv in western Ukraine, just 50 miles from the border. But the action comes during the ongoing G20 summit where Putin's foreign minister Sergey Lavrov is present after Putin snubbed the meeting. French president Emmanuel Macron said the G20 meeting would be an important moment to highlight what has happened in Poland. Since the attack, Russian markets have responded and are significantly down and when confronted on the allegations over the deaths, Kremlin spokesperson told ITV News that: ""Unfortunately I don’t have any information on that."" Today, Russia also pounded Ukraine's energy facilities with one of its biggest barrage of missiles yet, causing widespread blackouts. They fired at least 90 missiles, estimated to be worth approaching half a billion dollars in total, in the shocking attack - one of the largest of its kind since the war began in February this year. Zelensky said around ten million Ukrainians were left without power, including most of the city of Lviv and the entire Kharkiv region.",49,2.9118002119808417,4.187614082966695,-1.275813870985853,7
2022-11-01,Mirror,https://www.mirror.co.uk/news/world-news/nearly-1000-russians-die-single-28375998,Nearly 1000 Russian troops die in one day as Putin's forces given 'old rifles',"Almost a thousand Russian troops have been killed in the deadliest day of fighting since the Ukraine war began, according to officials in Kyiv. Ukraine's General Staff of the Armed Forces made the claim on Monday after revealing 71,200 of Vladimir Putin 's soldiers were estimated have died since the invasion started in February. A total of 950 of these had been killed on Sunday alone, they said, as Volodymyr Zelensky ’s forces continue to advance on the key southern city of Kherson. The latest count brought the number of Russian soldiers taken out by Ukrainian forces in October up to 12,730, an average of 400 day. It came as the UK Ministry of Defence reported that many reservists sent by Moscow from the recent mass mobilisation were suffering from a lack of equipment and preparation for combat. A tweet on the MoD's official Twitter account @DefenceHQ on Monday said: “ Russia has deployed several thousand newly mobilised reservists to the front line in Ukraine since mid-October. In many cases they are poorly equipped. “In September, Russian officers were concerned that some recently mobilised reservists were arriving in Ukraine without weapons.” Open-source images purportedly showed Russian soldiers had been equipped with AKM rifles - an outdated weapon first introduced in 1959. Many of these were likely given to them in ""barely usable condition following poor storage"", the ministry added. It comes after a series of explosions struck Kyiv and other regions of Ukraine yesterday morning as Russian forces restarted missile barrages on civilian areas following recent setbacks. Smoke could be seen rising above Kyiv after about 10 explosions, witnesses said. New leaked footage taken back in Russia meanwhile shows a bloody fight between ""drunk"" Russian soldiers and high-ranking military intelligence officers. The conscripts are from the 74th Guards Motor Rifle Brigade, based in Yurga, Siberia, who are undergoing training ahead of deployment to the frontline in Ukraine. The bloody fight indicates the chaotic reality of Vladimir Putin ’s mobilisation drive for the war, as mayhem is seen breaking out among dozens of reservist troops. Putin’s army intelligence and military police are seen dragging troops away from a bloody brawl. Some are tied with tape, according to onlookers close to their temporary barracks.",7,4.430984804765948,3.5101028423737675,0.9208819623921802,5
2022-10-31,Mirror,https://www.mirror.co.uk/news/world-news/breaking-kyiv-rocked-about-10-28367863,Kyiv rocked by 'about 10' huge explosions as Russia steps up missile strikes,"Kyiv has been rocked by a series of explosions as Russia steps up its missile strikes. Witnesses described hearing the blasts this morning in the Ukrainian capital while regional authorities in northern, eastern and central Ukraine also reported similar attacks. Russia has increased strikes in recent weeks after blaming its former Soviet ally for the explosion that damaged the Crimean bridge. Smoke could be seen rising above Kyiv after about 10 explosions, witnesses said. Ukrainians have been warned to remain in shelters. Andriy Yermak, President Volodymyr Zelenskiy's chief of staff, wrote in messaging app Telegram: ""Russian losers continue waging war on civilian facilities."" Oleg Nikolenko added: ""Russia is not interested in peace talks, nor in global food security. Putin’s only goal is death and destruction."" Kyiv Mayor Vitali Klitschko said there is no water supply or electricity in parts of the capital. Have you witnessed these attacks? Let us know in webnews@mirror.co.uk Reports suggest there were further electrical blackouts in other areas targeted by the attacks. Ihor Terekhov, the Mayor of Kharkiv, said his city has been struck by two missiles which targeted ""a critical infrastructure facility"". A video taken from inside a moving car showings a huge line of black smoke billowing from the Dnipro Hydroelectric Power Plant after it was reportedly struck. Air defence systems are understood to have fended off strikes in some areas. At least a dozen cruise missiles have been reported in the airspace above Ukraine with an air alert for the entire territory in place. A video purportedly shows Ukrainian air defences stopping a missile above Kyiv. Oleksii Kuleba, the head of the Kyiv Regional Military Administration, said reassured the Ukrainian people the country's air defence was 'working out' the targets. He added: ""Stay in shelters!"" Olena Halushka, a board member for Ukraine's Anti-Corruption Action Centre, tweeted: ""Another Monday, another Russian attempt to throw us into darkness and cold. ""In the last hour Russia attacked infrastructure in Kharkiv, Zaporizhzhia & Cherkasy regions, two latter are partly cut off from electricity. ""In other cities attacks were stopped by air defence systems."" Security expert Maria Avdeeva tweeted: ""Russia is again massively attacking civilian infrastructure throughout Ukraine. ""Kyiv - partial blackout and water shortages. Kharkiv - metro stopped. Cherkasy region - partial blackout. Zaporizhzhia - power outages. New launches reported."" Today marks the 250th day since Russia launched its 'special military operation' in Ukraine.",47,2.7102549007410386,3.136647482880285,-0.42639258213924647,21
